index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,215698,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,970.7999999988824,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,puddle,puddle_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
18,,,,,,html-keyboard-response,18,218481,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,1767.6000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,sidecar,sidecar_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
22,,,,,,html-keyboard-response,22,220290,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,790.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,eclair,eclair_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
26,,,,,,html-keyboard-response,26,222162,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,855.1999999992549,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,puddle,puddle_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
30,,,,,,html-keyboard-response,30,224323,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,1152.5999999996275,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,eclair,eclair_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
34,,,,,,html-keyboard-response,34,226082,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,744.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,buoy,buoy_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
38,,,,,,html-keyboard-response,38,227890,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,790.6999999992549,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,eclair,eclair_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,i,1,0,,,
42,,,,,,html-keyboard-response,42,229682,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,774.7999999988824,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,sidecar,sidecar_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
46,,,,,,html-keyboard-response,46,231682,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,988.6999999992549,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,buoy,buoy_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
50,,,,,,html-keyboard-response,50,237702,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,10,0,dot,sidecar,sidecar_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,,0,1,,,
54,,,,,,html-keyboard-response,54,241026,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,2310.9000000003725,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,buoy,buoy_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
58,,,,,,html-keyboard-response,58,243234,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,1194.199999999255,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,12,0,dot,sidecar,sidecar_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,e,0,0,,,
62,,,,,,html-keyboard-response,62,246242,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,1995.7000000011176,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,13,0,dot,puddle,puddle_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,0,0,,,
66,,,,,,html-keyboard-response,66,249027,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,1768.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,14,0,dot,buoy,buoy_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
70,,,,,,html-keyboard-response,70,251154,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,1117.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,15,0,dot,puddle,puddle_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
74,,,,,,html-keyboard-response,74,255266,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,3091.5999999996275,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,eclair,eclair_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,i,1,0,,,
82,,,,,,survey-text-autocomplete,82,268121,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,,"{""recognition"":""fish""}",,,,,,,,,,,,,,,17,0,recognition,buoy,buoy_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,fish,0.5911113019658004,0.0
89,,,,,,survey-text-autocomplete,89,274722,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 962,0j45hcathtkqheh,https://exponline.ugr.es/publix/939/983/start?srid=18275,65f1b89859e0ac502b79d54d,28,21,Italy,Female,Right-handed,,,"{""recognition"":""arm""}",,,,,,,,,,,,,,,18,0,recognition,eclair,eclair_mooney,catch,regular,pre,null,Exp,Recognition,,,,arm,0.8228957010058777,0.0
