index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3018,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,eclair,eclair_mooney_dot_off2,target,upside_down,pre,off,130vuuyhwk9g347,html-keyboard-response,14,158549,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/983/start?srid=18193,67c02ddea53434ef94274b7c,10,23,South Africa,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
1,1268.300000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,bullet,bullet_mooney_dot_off4,target,regular,pre,off,130vuuyhwk9g347,html-keyboard-response,18,160828,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/983/start?srid=18193,67c02ddea53434ef94274b7c,10,23,South Africa,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
2,1302.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,banana_peel,banana_peel_mooney_dot_on3,catch,regular,pre,on,130vuuyhwk9g347,html-keyboard-response,22,163140,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/983/start?srid=18193,67c02ddea53434ef94274b7c,10,23,South Africa,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
3,625.9000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,eclair,eclair_mooney_dot_on1,target,upside_down,pre,on,130vuuyhwk9g347,html-keyboard-response,26,164788,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/983/start?srid=18193,67c02ddea53434ef94274b7c,10,23,South Africa,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
4,1626.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,bullet,bullet_mooney_dot_on1,target,regular,pre,on,130vuuyhwk9g347,html-keyboard-response,30,167428,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/983/start?srid=18193,67c02ddea53434ef94274b7c,10,23,South Africa,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
5,793.7999999988824,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,eclair,eclair_mooney_dot_off4,target,upside_down,pre,off,130vuuyhwk9g347,html-keyboard-response,34,169242,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/983/start?srid=18193,67c02ddea53434ef94274b7c,10,23,South Africa,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
6,2019.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,130vuuyhwk9g347,html-keyboard-response,38,172276,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/983/start?srid=18193,67c02ddea53434ef94274b7c,10,23,South Africa,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
7,1823.2000000011176,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,130vuuyhwk9g347,html-keyboard-response,42,175114,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/983/start?srid=18193,67c02ddea53434ef94274b7c,10,23,South Africa,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
8,1068.300000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,bullet,bullet_mooney_dot_off2,target,regular,pre,off,130vuuyhwk9g347,html-keyboard-response,46,177196,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/983/start?srid=18193,67c02ddea53434ef94274b7c,10,23,South Africa,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
9,994.1999999992549,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,eclair,eclair_mooney_dot_on3,target,upside_down,pre,on,130vuuyhwk9g347,html-keyboard-response,50,179204,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/983/start?srid=18193,67c02ddea53434ef94274b7c,10,23,South Africa,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
