index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,sandal,sandal_mooney_dot_off4,target,regular,pre,off,3ebecu4u7wn8jpu,html-keyboard-response,14,1279270,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,2,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,3ebecu4u7wn8jpu,html-keyboard-response,18,1285298,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,
2,2897.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,bat2,bat2_mooney_dot_off4,target,upside_down,pre,off,3ebecu4u7wn8jpu,html-keyboard-response,22,1289204,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
3,961.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,axe,axe_mooney_dot_on1,target,horizontal_flip,pre,on,3ebecu4u7wn8jpu,html-keyboard-response,26,1291180,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
4,2785.899999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,banana_peel,banana_peel_mooney_dot_on1,catch,regular,pre,on,3ebecu4u7wn8jpu,html-keyboard-response,30,1294973,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
5,2499.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,axe,axe_mooney_dot_off4,target,horizontal_flip,pre,off,3ebecu4u7wn8jpu,html-keyboard-response,34,1298488,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
6,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,7,0,dot,bat2,bat2_mooney_dot_on1,target,upside_down,pre,on,3ebecu4u7wn8jpu,html-keyboard-response,38,1304500,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,,0,0,,,,
7,2913.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,axe,axe_mooney_dot_on3,target,horizontal_flip,pre,on,3ebecu4u7wn8jpu,html-keyboard-response,42,1308429,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,1978.3000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,banana_peel,banana_peel_mooney_dot_off2,catch,regular,pre,off,3ebecu4u7wn8jpu,html-keyboard-response,46,1311422,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
9,1135.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,bat2,bat2_mooney_dot_off2,target,upside_down,pre,off,3ebecu4u7wn8jpu,html-keyboard-response,50,1313576,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
10,914.8000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,banana_peel,banana_peel_mooney_dot_on3,catch,regular,pre,on,3ebecu4u7wn8jpu,html-keyboard-response,54,1315504,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
11,1313.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,12,0,dot,sandal,sandal_mooney_dot_on3,target,regular,pre,on,3ebecu4u7wn8jpu,html-keyboard-response,58,1317834,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18265,67c80387336acde4dc2b943b,33,27,United States,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
