index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,569,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,4mzrqx2f38tkzfj,html-keyboard-response,14,120756,0.0-11.0-5.0-1.0,Chrome,134.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/983/start?srid=18180,60f06a479c4f3ec0a536d40a,6,24,Poland,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
1,1713.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off2,catch,regular,pre,off,4mzrqx2f38tkzfj,html-keyboard-response,18,123476,0.0-11.0-5.1-1.1,Chrome,134.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/983/start?srid=18180,60f06a479c4f3ec0a536d40a,6,24,Poland,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
2,705,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,4mzrqx2f38tkzfj,html-keyboard-response,22,125187,0.0-11.0-5.2-1.2,Chrome,134.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/983/start?srid=18180,60f06a479c4f3ec0a536d40a,6,24,Poland,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
3,634.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,surfboard,surfboard_mooney_dot_off4,target,upside_down,pre,off,4mzrqx2f38tkzfj,html-keyboard-response,26,126827,0.0-11.0-5.3-1.3,Chrome,134.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/983/start?srid=18180,60f06a479c4f3ec0a536d40a,6,24,Poland,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
4,649.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,bat2,bat2_mooney_dot_off4,catch,regular,pre,off,4mzrqx2f38tkzfj,html-keyboard-response,30,128484,0.0-11.0-5.4-1.4,Chrome,134.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/983/start?srid=18180,60f06a479c4f3ec0a536d40a,6,24,Poland,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
5,2289.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,carriage,carriage_mooney_dot_off4,target,horizontal_flip,pre,off,4mzrqx2f38tkzfj,html-keyboard-response,34,131779,0.0-11.0-5.5-1.5,Chrome,134.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/983/start?srid=18180,60f06a479c4f3ec0a536d40a,6,24,Poland,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
6,761.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,4mzrqx2f38tkzfj,html-keyboard-response,38,133548,0.0-11.0-5.6-1.6,Chrome,134.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/983/start?srid=18180,60f06a479c4f3ec0a536d40a,6,24,Poland,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
7,528.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,carriage,carriage_mooney_dot_on1,target,horizontal_flip,pre,on,4mzrqx2f38tkzfj,html-keyboard-response,42,135083,0.0-11.0-5.7-1.7,Chrome,134.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/983/start?srid=18180,60f06a479c4f3ec0a536d40a,6,24,Poland,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,658,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,bat2,bat2_mooney_dot_on3,catch,regular,pre,on,4mzrqx2f38tkzfj,html-keyboard-response,46,136747,0.0-11.0-5.8-1.8,Chrome,134.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/983/start?srid=18180,60f06a479c4f3ec0a536d40a,6,24,Poland,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
9,945.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,surfboard,surfboard_mooney_dot_on1,target,upside_down,pre,on,4mzrqx2f38tkzfj,html-keyboard-response,50,138700,0.0-11.0-5.9-1.9,Chrome,134.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/983/start?srid=18180,60f06a479c4f3ec0a536d40a,6,24,Poland,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
