index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1702.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,banana_peel,banana_peel_mooney_dot_off2,catch,regular,pre,off,5zo9u8ext1amkf5,html-keyboard-response,14,259396,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
1,1517.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,mannequin,mannequin_mooney_dot_off4,target,regular,pre,off,5zo9u8ext1amkf5,html-keyboard-response,18,261924,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
2,2325.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,shears,shears_mooney_dot_off4,target,horizontal_flip,pre,off,5zo9u8ext1amkf5,html-keyboard-response,22,265268,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
3,1074.5999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,mannequin,mannequin_mooney_dot_off2,target,regular,pre,off,5zo9u8ext1amkf5,html-keyboard-response,26,267350,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
4,2455.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,5zo9u8ext1amkf5,html-keyboard-response,30,270812,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
5,1738.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,surfboard,surfboard_mooney_dot_on3,target,upside_down,pre,on,5zo9u8ext1amkf5,html-keyboard-response,34,273564,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
6,1558.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,mannequin,mannequin_mooney_dot_on3,target,regular,pre,on,5zo9u8ext1amkf5,html-keyboard-response,38,276132,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
7,1303.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,surfboard,surfboard_mooney_dot_on1,target,upside_down,pre,on,5zo9u8ext1amkf5,html-keyboard-response,42,278444,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
8,892,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,shears,shears_mooney_dot_on3,target,horizontal_flip,pre,on,5zo9u8ext1amkf5,html-keyboard-response,46,280348,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
9,1641.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,banana_peel,banana_peel_mooney_dot_on1,catch,regular,pre,on,5zo9u8ext1amkf5,html-keyboard-response,50,282996,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
10,2198.099999964237,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,11,0,dot,mannequin,mannequin_mooney_dot_on1,target,regular,pre,on,5zo9u8ext1amkf5,html-keyboard-response,54,286204,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
11,733.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,surfboard,surfboard_mooney_dot_off4,target,upside_down,pre,off,5zo9u8ext1amkf5,html-keyboard-response,58,287956,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
12,1307.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,13,0,dot,shears,shears_mooney_dot_off2,target,horizontal_flip,pre,off,5zo9u8ext1amkf5,html-keyboard-response,62,290269,0.0-11.0-5.12-1.12,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
13,1046.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,14,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,5zo9u8ext1amkf5,html-keyboard-response,66,292324,0.0-11.0-5.13-1.13,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
14,1494.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,15,0,dot,banana_peel,banana_peel_mooney_dot_on3,catch,regular,pre,on,5zo9u8ext1amkf5,html-keyboard-response,70,294837,0.0-11.0-5.14-1.14,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
15,780.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,shears,shears_mooney_dot_on1,target,horizontal_flip,pre,on,5zo9u8ext1amkf5,html-keyboard-response,74,296636,0.0-11.0-5.15-1.15,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
16,,,,17,0,recognition,mannequin,mannequin_mooney,target,regular,pre,null,5zo9u8ext1amkf5,survey-text-autocomplete,82,307478,0.0-11.0-6.16-4.16,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""cat""}",cat,0.6300878308699132,0.0
17,,,,18,0,recognition,banana_peel,banana_peel_mooney,catch,regular,pre,null,5zo9u8ext1amkf5,survey-text-autocomplete,89,312156,0.0-11.0-6.17-4.17,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/983/start?srid=18220,6713c3cbb7017fabce8708c3,29,30,United States,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""lizard""}",lizard,0.688327111260228,0.0
