index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,196523,0.0-11.0-5.0-1.0,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,1755.0999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,gutter,gutter_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,i,0,1,,,
18,,,,,,html-keyboard-response,18,199562,0.0-11.0-5.1-1.1,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,2025.6000000089407,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,aloe,aloe_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,i,0,0,,,
22,,,,,,html-keyboard-response,22,202809,0.0-11.0-5.2-1.2,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,2236.1000000089407,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,steak,steak_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
26,,,,,,html-keyboard-response,26,205689,0.0-11.0-5.3-1.3,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,1862,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,buoy,buoy_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
30,,,,,,html-keyboard-response,30,208048,0.0-11.0-5.4-1.4,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,1348.5999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,gutter,gutter_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,i,0,1,,,
34,,,,,,html-keyboard-response,34,210760,0.0-11.0-5.5-1.5,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,1701.2000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,steak,steak_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
38,,,,,,html-keyboard-response,38,214338,0.0-11.0-5.6-1.6,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,2566.7999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,aloe,aloe_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,
42,,,,,,html-keyboard-response,42,217746,0.0-11.0-5.7-1.7,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,2391.7000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,gutter,gutter_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
46,,,,,,html-keyboard-response,46,220245,0.0-11.0-5.8-1.8,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,1485.7000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,steak,steak_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
50,,,,,,html-keyboard-response,50,222604,0.0-11.0-5.9-1.9,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,1349.2000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,buoy,buoy_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
54,,,,,,html-keyboard-response,54,225107,0.0-11.0-5.10-1.10,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,1492.800000011921,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,steak,steak_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
58,,,,,,html-keyboard-response,58,227815,0.0-11.0-5.11-1.11,Chrome,132.0,Chrome OS,,undefined,undefined,1396 x 785,1397 x 650,608jkufsqtxwrfn,https://exponline.ugr.es/publix/939/983/start?srid=18179,5ed9079cca520542a8bc133f,12,22,United Kingdom,Female,Right-handed,,1699.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,gutter,gutter_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
