index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1741.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,puddle,puddle_mooney_dot_off2,target,upside_down,pre,off,6mtky2nvnkmynaf,html-keyboard-response,14,469536,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/983/start?srid=18297,6606b31155457e4f162ecf5a,28,30,India,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
1,1601.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,sidecar,sidecar_mooney_dot_off2,target,regular,pre,off,6mtky2nvnkmynaf,html-keyboard-response,18,472163,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/983/start?srid=18297,6606b31155457e4f162ecf5a,28,30,India,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
2,1049.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,eclair,eclair_mooney_dot_on1,catch,regular,pre,on,6mtky2nvnkmynaf,html-keyboard-response,22,474238,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/983/start?srid=18297,6606b31155457e4f162ecf5a,28,30,India,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
3,1216.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,puddle,puddle_mooney_dot_on1,target,upside_down,pre,on,6mtky2nvnkmynaf,html-keyboard-response,26,476476,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/983/start?srid=18297,6606b31155457e4f162ecf5a,28,30,India,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
4,1182.7000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,eclair,eclair_mooney_dot_on3,catch,regular,pre,on,6mtky2nvnkmynaf,html-keyboard-response,30,478683,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/983/start?srid=18297,6606b31155457e4f162ecf5a,28,30,India,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
5,1613.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,buoy,buoy_mooney_dot_off2,target,horizontal_flip,pre,off,6mtky2nvnkmynaf,html-keyboard-response,34,481319,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/983/start?srid=18297,6606b31155457e4f162ecf5a,28,30,India,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
6,1793.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,eclair,eclair_mooney_dot_off4,catch,regular,pre,off,6mtky2nvnkmynaf,html-keyboard-response,38,484131,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/983/start?srid=18297,6606b31155457e4f162ecf5a,28,30,India,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
7,1118.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,sidecar,sidecar_mooney_dot_on3,target,regular,pre,on,6mtky2nvnkmynaf,html-keyboard-response,42,486270,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/983/start?srid=18297,6606b31155457e4f162ecf5a,28,30,India,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
8,687.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,buoy,buoy_mooney_dot_on1,target,horizontal_flip,pre,on,6mtky2nvnkmynaf,html-keyboard-response,46,487989,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/983/start?srid=18297,6606b31155457e4f162ecf5a,28,30,India,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
9,1252.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,sidecar,sidecar_mooney_dot_off4,target,regular,pre,off,6mtky2nvnkmynaf,html-keyboard-response,50,490264,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1280 x 551,https://exponline.ugr.es/publix/939/983/start?srid=18297,6606b31155457e4f162ecf5a,28,30,India,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
