index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2763.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,backpack,backpack_mooney_dot_on3,target,regular,pre,on,874n3kkx22wnwvd,html-keyboard-response,14,473583,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1362 x 952,https://exponline.ugr.es/publix/939/983/start?srid=18247,606c6e9f7e86c0264ab3d7d8,16,32,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
1,1893.300000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,874n3kkx22wnwvd,html-keyboard-response,18,476479,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1362 x 952,https://exponline.ugr.es/publix/939/983/start?srid=18247,606c6e9f7e86c0264ab3d7d8,16,32,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,1464.800000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,bullet,bullet_mooney_dot_off4,catch,regular,pre,off,874n3kkx22wnwvd,html-keyboard-response,22,478951,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1362 x 952,https://exponline.ugr.es/publix/939/983/start?srid=18247,606c6e9f7e86c0264ab3d7d8,16,32,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
3,1907.300000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,bat2,bat2_mooney_dot_on3,target,horizontal_flip,pre,on,874n3kkx22wnwvd,html-keyboard-response,26,481871,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1362 x 952,https://exponline.ugr.es/publix/939/983/start?srid=18247,606c6e9f7e86c0264ab3d7d8,16,32,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
4,3058,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,carriage,carriage_mooney_dot_on1,target,upside_down,pre,on,874n3kkx22wnwvd,html-keyboard-response,30,485935,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1362 x 952,https://exponline.ugr.es/publix/939/983/start?srid=18247,606c6e9f7e86c0264ab3d7d8,16,32,South Africa,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
5,2547.400000002235,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,backpack,backpack_mooney_dot_off2,target,regular,pre,off,874n3kkx22wnwvd,html-keyboard-response,34,489495,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1362 x 952,https://exponline.ugr.es/publix/939/983/start?srid=18247,606c6e9f7e86c0264ab3d7d8,16,32,South Africa,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
6,3783.800000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,bullet,bullet_mooney_dot_off2,catch,regular,pre,off,874n3kkx22wnwvd,html-keyboard-response,38,494287,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1362 x 952,https://exponline.ugr.es/publix/939/983/start?srid=18247,606c6e9f7e86c0264ab3d7d8,16,32,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
7,1693.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,874n3kkx22wnwvd,html-keyboard-response,42,496984,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1362 x 952,https://exponline.ugr.es/publix/939/983/start?srid=18247,606c6e9f7e86c0264ab3d7d8,16,32,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
8,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,9,0,dot,carriage,carriage_mooney_dot_on3,target,upside_down,pre,on,874n3kkx22wnwvd,html-keyboard-response,46,502987,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1362 x 952,https://exponline.ugr.es/publix/939/983/start?srid=18247,606c6e9f7e86c0264ab3d7d8,16,32,South Africa,Male,Right-handed,Exp,dot_recog,,0,0,,,,
9,2350.599999997765,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,bullet,bullet_mooney_dot_on3,catch,regular,pre,on,874n3kkx22wnwvd,html-keyboard-response,50,506343,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1362 x 952,https://exponline.ugr.es/publix/939/983/start?srid=18247,606c6e9f7e86c0264ab3d7d8,16,32,South Africa,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
