index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,1135369,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,3647.699999999255,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,polar_bear,polar_bear_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
18,,,,,,html-keyboard-response,18,1141403,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,null,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,puddle,puddle_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,,0,0,,,
22,,,,,,html-keyboard-response,22,1145799,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,3369.699999999255,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,0,1,,,
26,,,,,,html-keyboard-response,26,1148089,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,1263.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
30,,,,,,html-keyboard-response,30,1153077,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,3965.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,polar_bear,polar_bear_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
34,,,,,,html-keyboard-response,34,1157984,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,3880,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,0,1,,,
38,,,,,,html-keyboard-response,38,1160075,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,1057,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,polar_bear,polar_bear_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,
42,,,,,,html-keyboard-response,42,1163711,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,2615.10000000149,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,puddle,puddle_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
46,,,,,,html-keyboard-response,46,1166663,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,1925.5999999996275,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
50,,,,,,html-keyboard-response,50,1169745,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,2042.5999999996275,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
54,,,,,,html-keyboard-response,54,1175779,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,null,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,11,0,dot,puddle,puddle_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,,0,1,,,
58,,,,,,html-keyboard-response,58,1181003,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,4185.5999999996275,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,12,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,i,0,1,,,
62,,,,,,html-keyboard-response,62,1185326,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,3279.300000000745,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,13,0,dot,polar_bear,polar_bear_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,
66,,,,,,html-keyboard-response,66,1189927,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,3583.0999999996275,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,14,0,dot,puddle,puddle_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,
70,,,,,,html-keyboard-response,70,1193480,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,2528.9000000003725,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,15,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,e,1,0,,,
74,,,,,,html-keyboard-response,74,1196719,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1093 x 615,1086 x 463,8dsk4oqu09rsb3z,https://exponline.ugr.es/publix/939/983/start?srid=18186,672ba8a7756d123a3b626d62,25,29,South Africa,Female,Right-handed,,2207.7999999988824,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,16,0,dot,egg_roll,egg_roll_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
