index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,backpack,backpack_mooney_dot_on3,target,regular,pre,on,967m6ok0bnob829,html-keyboard-response,14,1468795,0.0-11.0-5.0-1.0,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/983/start?srid=18167,67f222a25f6890437cbd8802,16,38,United States,Male,Right-handed,Exp,dot_recog,,0,0,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,2,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,967m6ok0bnob829,html-keyboard-response,20,1485500,0.0-11.0-5.1-1.1,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/983/start?srid=18167,67f222a25f6890437cbd8802,16,38,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,3,0,dot,bullet,bullet_mooney_dot_off4,catch,regular,pre,off,967m6ok0bnob829,html-keyboard-response,24,1491507,0.0-11.0-5.2-1.2,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/983/start?srid=18167,67f222a25f6890437cbd8802,16,38,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,4,0,dot,bat2,bat2_mooney_dot_on3,target,horizontal_flip,pre,on,967m6ok0bnob829,html-keyboard-response,28,1497518,0.0-11.0-5.3-1.3,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/983/start?srid=18167,67f222a25f6890437cbd8802,16,38,United States,Male,Right-handed,Exp,dot_recog,,0,0,,,,
4,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,5,0,dot,carriage,carriage_mooney_dot_on1,target,upside_down,pre,on,967m6ok0bnob829,html-keyboard-response,32,1503535,0.0-11.0-5.4-1.4,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/983/start?srid=18167,67f222a25f6890437cbd8802,16,38,United States,Male,Right-handed,Exp,dot_recog,,0,0,,,,
5,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,6,0,dot,backpack,backpack_mooney_dot_off2,target,regular,pre,off,967m6ok0bnob829,html-keyboard-response,36,1509552,0.0-11.0-5.5-1.5,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/983/start?srid=18167,67f222a25f6890437cbd8802,16,38,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,
6,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,7,0,dot,bullet,bullet_mooney_dot_off2,catch,regular,pre,off,967m6ok0bnob829,html-keyboard-response,40,1515579,0.0-11.0-5.6-1.6,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/983/start?srid=18167,67f222a25f6890437cbd8802,16,38,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,
7,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,8,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,967m6ok0bnob829,html-keyboard-response,44,1521599,0.0-11.0-5.7-1.7,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/983/start?srid=18167,67f222a25f6890437cbd8802,16,38,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,
8,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,9,0,dot,carriage,carriage_mooney_dot_on3,target,upside_down,pre,on,967m6ok0bnob829,html-keyboard-response,48,1527623,0.0-11.0-5.8-1.8,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/983/start?srid=18167,67f222a25f6890437cbd8802,16,38,United States,Male,Right-handed,Exp,dot_recog,,0,0,,,,
9,3737.1999999955297,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,bullet,bullet_mooney_dot_on3,catch,regular,pre,on,967m6ok0bnob829,html-keyboard-response,52,1532366,0.0-11.0-5.9-1.9,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/983/start?srid=18167,67f222a25f6890437cbd8802,16,38,United States,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
