index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1829,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,catch,regular,pre,on,9f02h4kv07dmt46,html-keyboard-response,14,601486,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
1,1164.6999999955297,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,garlic,garlic_mooney_dot_on1,target,regular,pre,on,9f02h4kv07dmt46,html-keyboard-response,18,603659,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
2,1076.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,9f02h4kv07dmt46,html-keyboard-response,22,605742,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
3,970.3999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,steak,steak_mooney_dot_off4,target,upside_down,pre,off,9f02h4kv07dmt46,html-keyboard-response,26,607719,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
4,906,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,9f02h4kv07dmt46,html-keyboard-response,30,609632,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
5,903.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,catch,regular,pre,off,9f02h4kv07dmt46,html-keyboard-response,34,611542,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
6,634.8999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,9f02h4kv07dmt46,html-keyboard-response,38,613184,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
7,546,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,steak,steak_mooney_dot_off2,target,upside_down,pre,off,9f02h4kv07dmt46,html-keyboard-response,42,614737,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
8,782,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,catch,regular,pre,off,9f02h4kv07dmt46,html-keyboard-response,46,616527,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
9,1360.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,steak,steak_mooney_dot_on3,target,upside_down,pre,on,9f02h4kv07dmt46,html-keyboard-response,50,618895,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
10,866.3999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,catch,regular,pre,on,9f02h4kv07dmt46,html-keyboard-response,54,620769,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
11,665.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,12,0,dot,garlic,garlic_mooney_dot_off4,target,regular,pre,off,9f02h4kv07dmt46,html-keyboard-response,58,622442,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
12,856.8000000044703,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,13,0,dot,steak,steak_mooney_dot_on1,target,upside_down,pre,on,9f02h4kv07dmt46,html-keyboard-response,62,624309,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/983/start?srid=18177,67d567449b933420ec025aa6,15,36,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
