index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,445912,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 632,9lbatypchlckypu,https://exponline.ugr.es/publix/939/983/start?srid=18166,67effd9aee321e23296daef3,11,19,United States,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,grasshopper,grasshopper_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,,0,0,,,
18,,,,,,html-keyboard-response,18,450451,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 632,9lbatypchlckypu,https://exponline.ugr.es/publix/939/983/start?srid=18166,67effd9aee321e23296daef3,11,19,United States,Female,Right-handed,,3525.600000000093,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
22,,,,,,html-keyboard-response,22,453737,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 632,9lbatypchlckypu,https://exponline.ugr.es/publix/939/983/start?srid=18166,67effd9aee321e23296daef3,11,19,United States,Female,Right-handed,,2272,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,snail,snail_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
26,,,,,,html-keyboard-response,26,456383,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 632,9lbatypchlckypu,https://exponline.ugr.es/publix/939/983/start?srid=18166,67effd9aee321e23296daef3,11,19,United States,Female,Right-handed,,1640.3000000002794,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,egg_roll,egg_roll_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
30,,,,,,html-keyboard-response,30,458391,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 632,9lbatypchlckypu,https://exponline.ugr.es/publix/939/983/start?srid=18166,67effd9aee321e23296daef3,11,19,United States,Female,Right-handed,,995.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,scarf,scarf_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,
34,,,,,,html-keyboard-response,34,460535,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 632,9lbatypchlckypu,https://exponline.ugr.es/publix/939/983/start?srid=18166,67effd9aee321e23296daef3,11,19,United States,Female,Right-handed,,1139.2999999998137,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,grasshopper,grasshopper_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,i,1,0,,,
38,,,,,,html-keyboard-response,38,463197,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 632,9lbatypchlckypu,https://exponline.ugr.es/publix/939/983/start?srid=18166,67effd9aee321e23296daef3,11,19,United States,Female,Right-handed,,1644.6000000000931,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,snail,snail_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
42,,,,,,html-keyboard-response,42,465546,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 632,9lbatypchlckypu,https://exponline.ugr.es/publix/939/983/start?srid=18166,67effd9aee321e23296daef3,11,19,United States,Female,Right-handed,,1333.8999999999069,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,0,1,,,
46,,,,,,html-keyboard-response,46,468004,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 632,9lbatypchlckypu,https://exponline.ugr.es/publix/939/983/start?srid=18166,67effd9aee321e23296daef3,11,19,United States,Female,Right-handed,,1448.6000000000931,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,scarf,scarf_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
50,,,,,,html-keyboard-response,50,469887,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1280 x 720,1280 x 632,9lbatypchlckypu,https://exponline.ugr.es/publix/939/983/start?srid=18166,67effd9aee321e23296daef3,11,19,United States,Female,Right-handed,,864.6999999997206,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,grasshopper,grasshopper_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,i,1,0,,,
