index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,722363,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,1294.8999999985099,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,bat2,bat2_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
18,,,,,,html-keyboard-response,18,724073,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,700.6999999992549,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
22,,,,,,html-keyboard-response,22,725840,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,747.7999999970198,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,e,1,0,,,
26,,,,,,html-keyboard-response,26,727632,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,785.8000000007451,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
30,,,,,,html-keyboard-response,30,729808,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,1163.9000000022352,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,puffin,puffin_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
34,,,,,,html-keyboard-response,34,732142,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,1321.699999999255,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,bat2,bat2_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
38,,,,,,html-keyboard-response,38,736056,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,2902.89999999851,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,puffin,puffin_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
42,,,,,,html-keyboard-response,42,738588,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,1512.8999999985099,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
46,,,,,,html-keyboard-response,46,741142,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,1533,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,gargoyle,gargoyle_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,0,0,,,
50,,,,,,html-keyboard-response,50,743477,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,1230.4000000022352,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,puffin,puffin_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
54,,,,,,html-keyboard-response,54,746636,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,2145,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,bat2,bat2_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,
58,,,,,,html-keyboard-response,58,748862,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,1215.1000000014901,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,gargoyle,gargoyle_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,e,1,0,,,
62,,,,,,html-keyboard-response,62,751485,0.0-11.0-5.12-1.12,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,1604.7000000029802,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,13,0,dot,puffin,puffin_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
66,,,,,,html-keyboard-response,66,754502,0.0-11.0-5.13-1.13,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,2007.300000000745,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,14,0,dot,bat2,bat2_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,0,1,,,
70,,,,,,html-keyboard-response,70,756674,0.0-11.0-5.14-1.14,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,1161.800000000745,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,15,0,dot,gargoyle,gargoyle_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,i,0,0,,,
74,,,,,,html-keyboard-response,74,758771,0.0-11.0-5.15-1.15,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,1077.5999999977648,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,16,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
82,,,,,,survey-text-autocomplete,82,770709,0.0-11.0-6.16-4.16,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,,"{""recognition"":""leopard""}",,,,,17,0,recognition,puffin,puffin_mooney,target,upside_down,pre,null,Exp,Recognition,,,,leopard,0.4557996723075983,0.0
89,,,,,,survey-text-autocomplete,89,780335,0.0-11.0-6.17-4.17,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,,"{""recognition"":""hand""}",,,,,18,0,recognition,bat2,bat2_mooney,target,regular,pre,null,Exp,Recognition,,,,hand,0.6158478058734933,0.0
96,,,,,,survey-text-autocomplete,96,787701,0.0-11.0-6.18-4.18,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1325 x 602,ay40ux9frmp00wq,https://exponline.ugr.es/publix/939/983/start?srid=18308,67c864a2517623377115fe22,7,25,South Africa,Male,Right-handed,,,"{""recognition"":""lion""}",,,,,19,0,recognition,gargoyle,gargoyle_mooney,catch,regular,pre,null,Exp,Recognition,,,,lion,0.5544220966406075,0.0
