index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2805,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,garlic,garlic_mooney_dot_on1,target,horizontal_flip,pre,on,bdn1bpxofoa0r0j,html-keyboard-response,14,507725,0.0-11.0-5.0-1.0,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
1,4185,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,eclair,eclair_mooney_dot_off4,target,regular,pre,off,bdn1bpxofoa0r0j,html-keyboard-response,18,513013,0.0-11.0-5.1-1.1,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
2,2887,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,steak,steak_mooney_dot_on3,catch,regular,pre,on,bdn1bpxofoa0r0j,html-keyboard-response,22,516990,0.0-11.0-5.2-1.2,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
3,2408,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,upside_down,pre,off,bdn1bpxofoa0r0j,html-keyboard-response,26,520414,0.0-11.0-5.3-1.3,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
4,4397,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,garlic,garlic_mooney_dot_off2,target,horizontal_flip,pre,off,bdn1bpxofoa0r0j,html-keyboard-response,30,525822,0.0-11.0-5.4-1.4,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
5,912,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,upside_down,pre,off,bdn1bpxofoa0r0j,html-keyboard-response,34,527748,0.0-11.0-5.5-1.5,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
6,1260,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,steak,steak_mooney_dot_on1,catch,regular,pre,on,bdn1bpxofoa0r0j,html-keyboard-response,38,530013,0.0-11.0-5.6-1.6,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
7,1224,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,garlic,garlic_mooney_dot_off4,target,horizontal_flip,pre,off,bdn1bpxofoa0r0j,html-keyboard-response,42,532246,0.0-11.0-5.7-1.7,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
8,2631,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,eclair,eclair_mooney_dot_on1,target,regular,pre,on,bdn1bpxofoa0r0j,html-keyboard-response,46,535887,0.0-11.0-5.8-1.8,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
9,2061,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,upside_down,pre,on,bdn1bpxofoa0r0j,html-keyboard-response,50,538965,0.0-11.0-5.9-1.9,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
10,1193,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,eclair,eclair_mooney_dot_on3,target,regular,pre,on,bdn1bpxofoa0r0j,html-keyboard-response,54,541166,0.0-11.0-5.10-1.10,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
11,1770,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,12,0,dot,steak,steak_mooney_dot_off2,catch,regular,pre,off,bdn1bpxofoa0r0j,html-keyboard-response,58,543942,0.0-11.0-5.11-1.11,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
12,1295,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,13,0,dot,dumbbell,dumbbell_mooney_dot_on3,target,upside_down,pre,on,bdn1bpxofoa0r0j,html-keyboard-response,62,546254,0.0-11.0-5.12-1.12,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
13,1075,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,14,0,dot,steak,steak_mooney_dot_off4,catch,regular,pre,off,bdn1bpxofoa0r0j,html-keyboard-response,66,548348,0.0-11.0-5.13-1.13,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
14,942,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,15,0,dot,eclair,eclair_mooney_dot_off2,target,regular,pre,off,bdn1bpxofoa0r0j,html-keyboard-response,70,550310,0.0-11.0-5.14-1.14,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
15,718,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,16,0,dot,garlic,garlic_mooney_dot_on3,target,horizontal_flip,pre,on,bdn1bpxofoa0r0j,html-keyboard-response,74,552038,0.0-11.0-5.15-1.15,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
16,,,,17,0,recognition,steak,steak_mooney,catch,regular,pre,null,bdn1bpxofoa0r0j,survey-text-autocomplete,82,569605,0.0-11.0-6.16-4.16,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""dog""}",dog,0.6092670175165206,0.0
17,,,,18,0,recognition,garlic,garlic_mooney,target,horizontal_flip,pre,null,bdn1bpxofoa0r0j,survey-text-autocomplete,89,580069,0.0-11.0-6.17-4.17,Firefox,137.0,Windows,10,undefined,undefined,1536 x 864,1536 x 779,https://exponline.ugr.es/publix/939/983/start?srid=18185,64da2b7a027be8f2c3e6dfc2,9,33,South Africa,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""tree""}",tree,0.6520936961737929,0.0
