index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,1,0,dot,polar_bear,polar_bear_mooney_dot_on1,target,upside_down,pre,on,bvoout7c1kx7012,html-keyboard-response,14,333348,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1707 x 813,https://exponline.ugr.es/publix/939/983/start?srid=18223,665f0dd45b29f10127413153,25,21,Kenya,Male,Right-handed,Exp,dot_recog,,0,0,,,,
1,2566.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,puddle,puddle_mooney_dot_on3,target,horizontal_flip,pre,on,bvoout7c1kx7012,html-keyboard-response,18,336932,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1707 x 813,https://exponline.ugr.es/publix/939/983/start?srid=18223,665f0dd45b29f10127413153,25,21,Kenya,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
2,1789.9000000022352,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,bvoout7c1kx7012,html-keyboard-response,22,339734,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1707 x 813,https://exponline.ugr.es/publix/939/983/start?srid=18223,665f0dd45b29f10127413153,25,21,Kenya,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
3,1343.699999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on1,catch,regular,pre,on,bvoout7c1kx7012,html-keyboard-response,26,342083,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1707 x 813,https://exponline.ugr.es/publix/939/983/start?srid=18223,665f0dd45b29f10127413153,25,21,Kenya,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
4,798.9000000022352,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,polar_bear,polar_bear_mooney_dot_on3,target,upside_down,pre,on,bvoout7c1kx7012,html-keyboard-response,30,343899,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1707 x 813,https://exponline.ugr.es/publix/939/983/start?srid=18223,665f0dd45b29f10127413153,25,21,Kenya,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
5,983.4000000022352,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,bvoout7c1kx7012,html-keyboard-response,34,345895,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1707 x 813,https://exponline.ugr.es/publix/939/983/start?srid=18223,665f0dd45b29f10127413153,25,21,Kenya,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
6,889,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,polar_bear,polar_bear_mooney_dot_off2,target,upside_down,pre,off,bvoout7c1kx7012,html-keyboard-response,38,347802,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1707 x 813,https://exponline.ugr.es/publix/939/983/start?srid=18223,665f0dd45b29f10127413153,25,21,Kenya,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
7,1039.699999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,puddle,puddle_mooney_dot_on1,target,horizontal_flip,pre,on,bvoout7c1kx7012,html-keyboard-response,42,349859,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1707 x 813,https://exponline.ugr.es/publix/939/983/start?srid=18223,665f0dd45b29f10127413153,25,21,Kenya,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
8,979.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on3,catch,regular,pre,on,bvoout7c1kx7012,html-keyboard-response,46,351845,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1707 x 813,https://exponline.ugr.es/publix/939/983/start?srid=18223,665f0dd45b29f10127413153,25,21,Kenya,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
9,815.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,bvoout7c1kx7012,html-keyboard-response,50,353666,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1707 x 813,https://exponline.ugr.es/publix/939/983/start?srid=18223,665f0dd45b29f10127413153,25,21,Kenya,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
