index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,282154,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,1418,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
18,,,,,,html-keyboard-response,18,284236,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,1064.7999999988824,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,i,1,0,,,
22,,,,,,html-keyboard-response,22,286756,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,1499.199999999255,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
26,,,,,,html-keyboard-response,26,289476,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,1703,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,surfboard,surfboard_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
30,,,,,,html-keyboard-response,30,291579,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,1086.0999999996275,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,bat2,bat2_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
34,,,,,,html-keyboard-response,34,293266,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,677.3000000007451,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,carriage,carriage_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
38,,,,,,html-keyboard-response,38,295866,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,1590.5999999996275,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
42,,,,,,html-keyboard-response,42,298668,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,1782.9000000003725,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,carriage,carriage_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
46,,,,,,html-keyboard-response,46,300386,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,697.4000000003725,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,bat2,bat2_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
50,,,,,,html-keyboard-response,50,302020,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,614.0999999996275,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,surfboard,surfboard_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
54,,,,,,html-keyboard-response,54,303452,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,414.7000000011176,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,missile,missile_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
58,,,,,,html-keyboard-response,58,305004,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,531.6999999992549,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,carriage,carriage_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
62,,,,,,html-keyboard-response,62,306498,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,488.6000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,bat2,bat2_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
66,,,,,,html-keyboard-response,66,307916,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,400,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,14,0,dot,surfboard,surfboard_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
70,,,,,,html-keyboard-response,70,309348,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,422.2999999988824,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,15,0,dot,carriage,carriage_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
74,,,,,,html-keyboard-response,74,311660,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,2560 x 1440,1920 x 951,cquf50vao5wau1w,https://exponline.ugr.es/publix/939/983/start?srid=18169,67ad9281b4a4d68f2f055a7b,6,35,South Africa,Female,Right-handed,,1300.9000000003725,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,missile,missile_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
