index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,988,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,axe,axe_mooney_dot_off4,catch,regular,pre,off,cy9ev395vc07c72,html-keyboard-response,14,382304,0.0-11.0-5.0-1.0,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
1,501,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,cy9ev395vc07c72,html-keyboard-response,18,383807,0.0-11.0-5.1-1.1,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
2,597,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,cy9ev395vc07c72,html-keyboard-response,22,385407,0.0-11.0-5.2-1.2,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
3,341,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,steak,steak_mooney_dot_off2,target,regular,pre,off,cy9ev395vc07c72,html-keyboard-response,26,386751,0.0-11.0-5.3-1.3,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
4,541,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,upside_down,pre,on,cy9ev395vc07c72,html-keyboard-response,30,388296,0.0-11.0-5.4-1.4,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
5,413,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,steak,steak_mooney_dot_on1,target,regular,pre,on,cy9ev395vc07c72,html-keyboard-response,34,389712,0.0-11.0-5.5-1.5,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
6,454,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,cy9ev395vc07c72,html-keyboard-response,38,391168,0.0-11.0-5.6-1.6,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
7,294,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,cy9ev395vc07c72,html-keyboard-response,42,392464,0.0-11.0-5.7-1.7,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
8,237,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,cy9ev395vc07c72,html-keyboard-response,46,393703,0.0-11.0-5.8-1.8,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
9,286,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,cy9ev395vc07c72,html-keyboard-response,50,394992,0.0-11.0-5.9-1.9,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
10,286,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,axe,axe_mooney_dot_on3,catch,regular,pre,on,cy9ev395vc07c72,html-keyboard-response,54,396280,0.0-11.0-5.10-1.10,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
11,314,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,12,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,cy9ev395vc07c72,html-keyboard-response,58,397640,0.0-11.0-5.11-1.11,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
12,206,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,13,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,cy9ev395vc07c72,html-keyboard-response,62,398847,0.0-11.0-5.12-1.12,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
13,254,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,14,0,dot,steak,steak_mooney_dot_off4,target,regular,pre,off,cy9ev395vc07c72,html-keyboard-response,66,400103,0.0-11.0-5.13-1.13,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
14,422,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,15,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,cy9ev395vc07c72,html-keyboard-response,70,401528,0.0-11.0-5.14-1.14,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
15,102,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,16,0,dot,steak,steak_mooney_dot_on3,target,regular,pre,on,cy9ev395vc07c72,html-keyboard-response,74,402631,0.0-11.0-5.15-1.15,Firefox,136.0,Linux,,undefined,undefined,1920 x 1080,1465 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18303,65fb71b3ec79b34dccc04c76,13,30,Morocco,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
