index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,1,0,dot,steak,steak_mooney_dot_off2,target,upside_down,pre,off,dko0ryyf3gm64k5,html-keyboard-response,14,239290,0.0-11.0-5.0-1.0,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 926,https://exponline.ugr.es/publix/939/983/start?srid=18283,67ad5c6303e97e64b970bba4,21,26,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,magnifier,magnifier_mooney_dot_off2,catch,regular,pre,off,dko0ryyf3gm64k5,html-keyboard-response,18,245299,0.0-11.0-5.1-1.1,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 926,https://exponline.ugr.es/publix/939/983/start?srid=18283,67ad5c6303e97e64b970bba4,21,26,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,3,0,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,horizontal_flip,pre,on,dko0ryyf3gm64k5,html-keyboard-response,22,251333,0.0-11.0-5.2-1.2,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 926,https://exponline.ugr.es/publix/939/983/start?srid=18283,67ad5c6303e97e64b970bba4,21,26,United States,Female,Right-handed,Exp,dot_recog,,0,0,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,4,0,dot,candelabra,candelabra_mooney_dot_off4,target,regular,pre,off,dko0ryyf3gm64k5,html-keyboard-response,26,257353,0.0-11.0-5.3-1.3,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 926,https://exponline.ugr.es/publix/939/983/start?srid=18283,67ad5c6303e97e64b970bba4,21,26,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,
4,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,5,0,dot,magnifier,magnifier_mooney_dot_off4,catch,regular,pre,off,dko0ryyf3gm64k5,html-keyboard-response,30,263382,0.0-11.0-5.4-1.4,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 926,https://exponline.ugr.es/publix/939/983/start?srid=18283,67ad5c6303e97e64b970bba4,21,26,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,
5,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,6,0,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,horizontal_flip,pre,off,dko0ryyf3gm64k5,html-keyboard-response,34,269400,0.0-11.0-5.5-1.5,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 926,https://exponline.ugr.es/publix/939/983/start?srid=18283,67ad5c6303e97e64b970bba4,21,26,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,
6,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,7,0,dot,candelabra,candelabra_mooney_dot_on3,target,regular,pre,on,dko0ryyf3gm64k5,html-keyboard-response,38,275414,0.0-11.0-5.6-1.6,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 926,https://exponline.ugr.es/publix/939/983/start?srid=18283,67ad5c6303e97e64b970bba4,21,26,United States,Female,Right-handed,Exp,dot_recog,,0,0,,,,
7,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,8,0,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,horizontal_flip,pre,off,dko0ryyf3gm64k5,html-keyboard-response,42,281485,0.0-11.0-5.7-1.7,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 926,https://exponline.ugr.es/publix/939/983/start?srid=18283,67ad5c6303e97e64b970bba4,21,26,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,
8,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,9,0,dot,candelabra,candelabra_mooney_dot_on1,target,regular,pre,on,dko0ryyf3gm64k5,html-keyboard-response,46,287498,0.0-11.0-5.8-1.8,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 926,https://exponline.ugr.es/publix/939/983/start?srid=18283,67ad5c6303e97e64b970bba4,21,26,United States,Female,Right-handed,Exp,dot_recog,,0,0,,,,
9,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,10,0,dot,steak,steak_mooney_dot_on3,target,upside_down,pre,on,dko0ryyf3gm64k5,html-keyboard-response,50,293526,0.0-11.0-5.9-1.9,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 926,https://exponline.ugr.es/publix/939/983/start?srid=18283,67ad5c6303e97e64b970bba4,21,26,United States,Female,Right-handed,Exp,dot_recog,,0,0,,,,
