index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,681.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,garlic,garlic_mooney_dot_on3,target,upside_down,pre,on,e32fgf2mpy2osqx,html-keyboard-response,14,191452,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
1,622,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,horizontal_flip,pre,off,e32fgf2mpy2osqx,html-keyboard-response,18,193082,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
2,660.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,ginger,ginger_mooney_dot_off4,catch,regular,pre,off,e32fgf2mpy2osqx,html-keyboard-response,22,194755,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
3,612.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,horizontal_flip,pre,on,e32fgf2mpy2osqx,html-keyboard-response,26,196380,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
4,622.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,puddle,puddle_mooney_dot_on1,target,regular,pre,on,e32fgf2mpy2osqx,html-keyboard-response,30,198015,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
5,450,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,ginger,ginger_mooney_dot_on3,catch,regular,pre,on,e32fgf2mpy2osqx,html-keyboard-response,34,199483,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
6,610.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,horizontal_flip,pre,off,e32fgf2mpy2osqx,html-keyboard-response,38,201117,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
7,649.8000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,e32fgf2mpy2osqx,html-keyboard-response,42,202782,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
8,643.3000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,garlic,garlic_mooney_dot_off2,target,upside_down,pre,off,e32fgf2mpy2osqx,html-keyboard-response,46,204436,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
9,532.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,e32fgf2mpy2osqx,html-keyboard-response,50,205982,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
10,593,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,dumbbell,dumbbell_mooney_dot_on3,target,horizontal_flip,pre,on,e32fgf2mpy2osqx,html-keyboard-response,54,207587,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18222,63b6ef9027eb90f292852ee4,17,32,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
