index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,snail,snail_mooney_dot_off2,catch,regular,pre,off,e5q4a0os4dhj1ry,html-keyboard-response,14,789298,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,
1,1366.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,2,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,e5q4a0os4dhj1ry,html-keyboard-response,18,791688,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
2,1266.7999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,polar_bear,polar_bear_mooney_dot_off4,target,regular,pre,off,e5q4a0os4dhj1ry,html-keyboard-response,22,793975,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
3,2260.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,horizontal_flip,pre,on,e5q4a0os4dhj1ry,html-keyboard-response,26,797256,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
4,1947,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,snail,snail_mooney_dot_off4,catch,regular,pre,off,e5q4a0os4dhj1ry,html-keyboard-response,30,800223,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
5,2076.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,polar_bear,polar_bear_mooney_dot_on1,target,regular,pre,on,e5q4a0os4dhj1ry,html-keyboard-response,34,803318,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
6,2647.8999999910593,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,upside_down,pre,on,e5q4a0os4dhj1ry,html-keyboard-response,38,806990,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
7,1720.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,polar_bear,polar_bear_mooney_dot_on3,target,regular,pre,on,e5q4a0os4dhj1ry,html-keyboard-response,42,809728,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
8,1376.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,horizontal_flip,pre,off,e5q4a0os4dhj1ry,html-keyboard-response,46,812125,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
9,1147,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,polar_bear,polar_bear_mooney_dot_off2,target,regular,pre,off,e5q4a0os4dhj1ry,html-keyboard-response,50,814296,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
10,1778.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,horizontal_flip,pre,on,e5q4a0os4dhj1ry,html-keyboard-response,54,817097,0.0-11.0-5.10-1.10,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
11,1723.3999999910593,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,e5q4a0os4dhj1ry,html-keyboard-response,58,819835,0.0-11.0-5.11-1.11,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18296,67ccbdd9229ab8ea3a72d7fd,23,32,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
