index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1706.9000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,shears,shears_mooney_dot_off4,target,upside_down,pre,off,el6jcuwjpoz57vw,html-keyboard-response,14,152710,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1536 x 1024,1536 x 901,https://exponline.ugr.es/publix/939/983/start?srid=18267,60e06aa71d268fe7ddc418c2,1,21,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
1,1269.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,horizontal_flip,pre,on,el6jcuwjpoz57vw,html-keyboard-response,18,154986,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1536 x 1024,1536 x 901,https://exponline.ugr.es/publix/939/983/start?srid=18267,60e06aa71d268fe7ddc418c2,1,21,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
2,1280.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,el6jcuwjpoz57vw,html-keyboard-response,22,157272,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1536 x 1024,1536 x 901,https://exponline.ugr.es/publix/939/983/start?srid=18267,60e06aa71d268fe7ddc418c2,1,21,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
3,930.3999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,shears,shears_mooney_dot_off2,target,upside_down,pre,off,el6jcuwjpoz57vw,html-keyboard-response,26,159207,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1536 x 1024,1536 x 901,https://exponline.ugr.es/publix/939/983/start?srid=18267,60e06aa71d268fe7ddc418c2,1,21,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
4,880.5999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,el6jcuwjpoz57vw,html-keyboard-response,30,161096,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1536 x 1024,1536 x 901,https://exponline.ugr.es/publix/939/983/start?srid=18267,60e06aa71d268fe7ddc418c2,1,21,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
5,877.8000000007451,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,ginger,ginger_mooney_dot_off4,catch,regular,pre,off,el6jcuwjpoz57vw,html-keyboard-response,34,162982,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1536 x 1024,1536 x 901,https://exponline.ugr.es/publix/939/983/start?srid=18267,60e06aa71d268fe7ddc418c2,1,21,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
6,670,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,horizontal_flip,pre,on,el6jcuwjpoz57vw,html-keyboard-response,38,164660,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1536 x 1024,1536 x 901,https://exponline.ugr.es/publix/939/983/start?srid=18267,60e06aa71d268fe7ddc418c2,1,21,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
7,617.0999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,missile,missile_mooney_dot_on3,target,regular,pre,on,el6jcuwjpoz57vw,html-keyboard-response,42,166284,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1536 x 1024,1536 x 901,https://exponline.ugr.es/publix/939/983/start?srid=18267,60e06aa71d268fe7ddc418c2,1,21,United Kingdom,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
8,864.6999999992549,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,ginger,ginger_mooney_dot_on3,catch,regular,pre,on,el6jcuwjpoz57vw,html-keyboard-response,46,168167,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1536 x 1024,1536 x 901,https://exponline.ugr.es/publix/939/983/start?srid=18267,60e06aa71d268fe7ddc418c2,1,21,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
9,754.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,shears,shears_mooney_dot_on3,target,upside_down,pre,on,el6jcuwjpoz57vw,html-keyboard-response,50,169931,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1536 x 1024,1536 x 901,https://exponline.ugr.es/publix/939/983/start?srid=18267,60e06aa71d268fe7ddc418c2,1,21,United Kingdom,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
