index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,2543659,0.0-11.0-5.0-1.0,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,esqhns62gw2jvdz,https://exponline.ugr.es/publix/939/983/start?srid=18278,67a8f9c728f4fdb39eef332d,4,36,United States,Male,Left-handed,,null,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,carriage,carriage_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,,0,0,,,
18,,,,,,html-keyboard-response,18,2546529,0.0-11.0-5.1-1.1,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,esqhns62gw2jvdz,https://exponline.ugr.es/publix/939/983/start?srid=18278,67a8f9c728f4fdb39eef332d,4,36,United States,Male,Left-handed,,1842,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,gutter,gutter_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,
22,,,,,,html-keyboard-response,22,2548399,0.0-11.0-5.2-1.2,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,esqhns62gw2jvdz,https://exponline.ugr.es/publix/939/983/start?srid=18278,67a8f9c728f4fdb39eef332d,4,36,United States,Male,Left-handed,,852.2999999821186,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,carriage,carriage_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
26,,,,,,html-keyboard-response,26,2550349,0.0-11.0-5.3-1.3,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,esqhns62gw2jvdz,https://exponline.ugr.es/publix/939/983/start?srid=18278,67a8f9c728f4fdb39eef332d,4,36,United States,Male,Left-handed,,922,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,0,1,,,
30,,,,,,html-keyboard-response,30,2552139,0.0-11.0-5.4-1.4,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,esqhns62gw2jvdz,https://exponline.ugr.es/publix/939/983/start?srid=18278,67a8f9c728f4fdb39eef332d,4,36,United States,Male,Left-handed,,766.9000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,drill,drill_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,0,0,,,
34,,,,,,html-keyboard-response,34,2554155,0.0-11.0-5.5-1.5,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,esqhns62gw2jvdz,https://exponline.ugr.es/publix/939/983/start?srid=18278,67a8f9c728f4fdb39eef332d,4,36,United States,Male,Left-handed,,999.0999999940395,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
38,,,,,,html-keyboard-response,38,2555909,0.0-11.0-5.6-1.6,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,esqhns62gw2jvdz,https://exponline.ugr.es/publix/939/983/start?srid=18278,67a8f9c728f4fdb39eef332d,4,36,United States,Male,Left-handed,,732.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,gutter,gutter_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,
42,,,,,,html-keyboard-response,42,2558243,0.0-11.0-5.7-1.7,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,esqhns62gw2jvdz,https://exponline.ugr.es/publix/939/983/start?srid=18278,67a8f9c728f4fdb39eef332d,4,36,United States,Male,Left-handed,,1307.8999999761581,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,drill,drill_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,
46,,,,,,html-keyboard-response,46,2560098,0.0-11.0-5.8-1.8,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,esqhns62gw2jvdz,https://exponline.ugr.es/publix/939/983/start?srid=18278,67a8f9c728f4fdb39eef332d,4,36,United States,Male,Left-handed,,829.5999999940395,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,0,1,,,
50,,,,,,html-keyboard-response,50,2562226,0.0-11.0-5.9-1.9,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,esqhns62gw2jvdz,https://exponline.ugr.es/publix/939/983/start?srid=18278,67a8f9c728f4fdb39eef332d,4,36,United States,Male,Left-handed,,1103.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,drill,drill_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
