index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1149.8999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,snail,snail_mooney_dot_off2,catch,regular,pre,off,ffpany25ls9qouj,html-keyboard-response,14,791970,0.0-11.0-5.0-1.0,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
1,1098.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,2,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,ffpany25ls9qouj,html-keyboard-response,18,794081,0.0-11.0-5.1-1.1,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,970.1000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,polar_bear,polar_bear_mooney_dot_off4,target,regular,pre,off,ffpany25ls9qouj,html-keyboard-response,22,796065,0.0-11.0-5.2-1.2,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
3,1268.0999999977648,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,horizontal_flip,pre,on,ffpany25ls9qouj,html-keyboard-response,26,798346,0.0-11.0-5.3-1.3,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
4,890.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,snail,snail_mooney_dot_off4,catch,regular,pre,off,ffpany25ls9qouj,html-keyboard-response,30,800252,0.0-11.0-5.4-1.4,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
5,1186.800000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,polar_bear,polar_bear_mooney_dot_on1,target,regular,pre,on,ffpany25ls9qouj,html-keyboard-response,34,802453,0.0-11.0-5.5-1.5,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
6,986.1999999992549,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,upside_down,pre,on,ffpany25ls9qouj,html-keyboard-response,38,804446,0.0-11.0-5.6-1.6,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
7,1138.300000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,polar_bear,polar_bear_mooney_dot_on3,target,regular,pre,on,ffpany25ls9qouj,html-keyboard-response,42,806599,0.0-11.0-5.7-1.7,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
8,1629,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,horizontal_flip,pre,off,ffpany25ls9qouj,html-keyboard-response,46,809237,0.0-11.0-5.8-1.8,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
9,1156.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,polar_bear,polar_bear_mooney_dot_off2,target,regular,pre,off,ffpany25ls9qouj,html-keyboard-response,50,811409,0.0-11.0-5.9-1.9,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
10,1612.699999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,horizontal_flip,pre,on,ffpany25ls9qouj,html-keyboard-response,54,814037,0.0-11.0-5.10-1.10,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
11,1273,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,12,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,ffpany25ls9qouj,html-keyboard-response,58,816328,0.0-11.0-5.11-1.11,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
12,1977.8999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,13,0,dot,snail,snail_mooney_dot_on1,catch,regular,pre,on,ffpany25ls9qouj,html-keyboard-response,62,819324,0.0-11.0-5.12-1.12,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
13,1187.300000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,14,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,ffpany25ls9qouj,html-keyboard-response,66,821527,0.0-11.0-5.13-1.13,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
14,1453.1000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,15,0,dot,snail,snail_mooney_dot_on3,catch,regular,pre,on,ffpany25ls9qouj,html-keyboard-response,70,824002,0.0-11.0-5.14-1.14,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
15,1211.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,16,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,horizontal_flip,pre,off,ffpany25ls9qouj,html-keyboard-response,74,826226,0.0-11.0-5.15-1.15,Chrome,135.0,Linux,,undefined,undefined,1920 x 1080,1862 x 961,https://exponline.ugr.es/publix/939/983/start?srid=18161,611ce3570a53282a7597ee62,23,27,Uganda,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
