index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4368.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,puddle,puddle_mooney_dot_off2,target,upside_down,pre,off,g4v922tr9t7evmm,html-keyboard-response,14,198306,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
1,3250.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,sidecar,sidecar_mooney_dot_off2,target,regular,pre,off,g4v922tr9t7evmm,html-keyboard-response,18,202565,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,2282.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,eclair,eclair_mooney_dot_on1,catch,regular,pre,on,g4v922tr9t7evmm,html-keyboard-response,22,205864,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
3,2702.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,puddle,puddle_mooney_dot_on1,target,upside_down,pre,on,g4v922tr9t7evmm,html-keyboard-response,26,209583,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
4,2432.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,eclair,eclair_mooney_dot_on3,catch,regular,pre,on,g4v922tr9t7evmm,html-keyboard-response,30,213018,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
5,1646.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,buoy,buoy_mooney_dot_off2,target,horizontal_flip,pre,off,g4v922tr9t7evmm,html-keyboard-response,34,215681,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
6,1470,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,eclair,eclair_mooney_dot_off4,catch,regular,pre,off,g4v922tr9t7evmm,html-keyboard-response,38,218154,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
7,1417.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,sidecar,sidecar_mooney_dot_on3,target,regular,pre,on,g4v922tr9t7evmm,html-keyboard-response,42,220583,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
8,1588.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,buoy,buoy_mooney_dot_on1,target,horizontal_flip,pre,on,g4v922tr9t7evmm,html-keyboard-response,46,223180,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
9,2031.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,sidecar,sidecar_mooney_dot_off4,target,regular,pre,off,g4v922tr9t7evmm,html-keyboard-response,50,226219,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
10,1850.4000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,buoy,buoy_mooney_dot_off4,target,horizontal_flip,pre,off,g4v922tr9t7evmm,html-keyboard-response,54,229079,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
11,1887.5999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,12,0,dot,sidecar,sidecar_mooney_dot_on1,target,regular,pre,on,g4v922tr9t7evmm,html-keyboard-response,58,231980,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
12,1435,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,13,0,dot,puddle,puddle_mooney_dot_on3,target,upside_down,pre,on,g4v922tr9t7evmm,html-keyboard-response,62,234431,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
13,1117.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,14,0,dot,buoy,buoy_mooney_dot_on3,target,horizontal_flip,pre,on,g4v922tr9t7evmm,html-keyboard-response,66,236551,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
14,1032.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,15,0,dot,puddle,puddle_mooney_dot_off4,target,upside_down,pre,off,g4v922tr9t7evmm,html-keyboard-response,70,238601,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 911,https://exponline.ugr.es/publix/939/983/start?srid=18273,6334bc807c0def4b12ac72af,28,29,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
