index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,1,0,dot,eclair,eclair_mooney_dot_off2,target,upside_down,pre,off,g73xodg3e4knjvv,html-keyboard-response,14,257000,0.0-11.0-5.0-1.0,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,bullet,bullet_mooney_dot_off4,target,regular,pre,off,g73xodg3e4knjvv,html-keyboard-response,18,263006,0.0-11.0-5.1-1.1,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,
2,1080.7000000011176,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,banana_peel,banana_peel_mooney_dot_on3,catch,regular,pre,on,g73xodg3e4knjvv,html-keyboard-response,22,265093,0.0-11.0-5.2-1.2,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
3,1334.800000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,eclair,eclair_mooney_dot_on1,target,upside_down,pre,on,g73xodg3e4knjvv,html-keyboard-response,26,267431,0.0-11.0-5.3-1.3,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
4,1382.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,bullet,bullet_mooney_dot_on1,target,regular,pre,on,g73xodg3e4knjvv,html-keyboard-response,30,269818,0.0-11.0-5.4-1.4,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
5,1665.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,eclair,eclair_mooney_dot_off4,target,upside_down,pre,off,g73xodg3e4knjvv,html-keyboard-response,34,272488,0.0-11.0-5.5-1.5,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
6,1920.7999999988824,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,g73xodg3e4knjvv,html-keyboard-response,38,275414,0.0-11.0-5.6-1.6,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
7,1153.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,g73xodg3e4knjvv,html-keyboard-response,42,277572,0.0-11.0-5.7-1.7,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
8,4078.7999999988824,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,bullet,bullet_mooney_dot_off2,target,regular,pre,off,g73xodg3e4knjvv,html-keyboard-response,46,282656,0.0-11.0-5.8-1.8,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
9,1847,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,eclair,eclair_mooney_dot_on3,target,upside_down,pre,on,g73xodg3e4knjvv,html-keyboard-response,50,285508,0.0-11.0-5.9-1.9,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
10,4499.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,banana_peel,banana_peel_mooney_dot_off2,catch,regular,pre,off,g73xodg3e4knjvv,html-keyboard-response,54,291012,0.0-11.0-5.10-1.10,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
11,1410.199999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,12,0,dot,sandal,sandal_mooney_dot_off4,target,horizontal_flip,pre,off,g73xodg3e4knjvv,html-keyboard-response,58,293428,0.0-11.0-5.11-1.11,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
12,1124.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,bullet,bullet_mooney_dot_on3,target,regular,pre,on,g73xodg3e4knjvv,html-keyboard-response,62,295558,0.0-11.0-5.12-1.12,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
13,1019.3000000007451,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,14,0,dot,sandal,sandal_mooney_dot_off2,target,horizontal_flip,pre,off,g73xodg3e4knjvv,html-keyboard-response,66,297583,0.0-11.0-5.13-1.13,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
14,1453.8999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,15,0,dot,banana_peel,banana_peel_mooney_dot_on1,catch,regular,pre,on,g73xodg3e4knjvv,html-keyboard-response,70,300042,0.0-11.0-5.14-1.14,Chrome,134.0,macOS,10.15.7,undefined,undefined,2560 x 1440,1878 x 1054,https://exponline.ugr.es/publix/939/983/start?srid=18290,5cfbca108483c6001530c04a,10,37,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
