index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,h421uee8l6khhh9,html-keyboard-response,14,312878,0.0-11.0-5.0-1.0,Chrome,135.0,iOS,16.6.1,undefined,true,414 x 896,980 x 1704,https://exponline.ugr.es/publix/939/983/start?srid=18259,67b89f64c09d83ec36fdd403,3,28,South Africa,Female,Left-handed,Exp,dot_recog,,0,1,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,sardine,sardine_mooney_dot_off2,target,horizontal_flip,pre,off,h421uee8l6khhh9,html-keyboard-response,18,318926,0.0-11.0-5.1-1.1,Chrome,135.0,iOS,16.6.1,undefined,true,414 x 896,980 x 1704,https://exponline.ugr.es/publix/939/983/start?srid=18259,67b89f64c09d83ec36fdd403,3,28,South Africa,Female,Left-handed,Exp,dot_recog,,0,1,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,3,0,dot,aloe,aloe_mooney_dot_off2,target,upside_down,pre,off,h421uee8l6khhh9,html-keyboard-response,22,324952,0.0-11.0-5.2-1.2,Chrome,135.0,iOS,16.6.1,undefined,true,414 x 896,980 x 1704,https://exponline.ugr.es/publix/939/983/start?srid=18259,67b89f64c09d83ec36fdd403,3,28,South Africa,Female,Left-handed,Exp,dot_recog,,0,1,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,4,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,h421uee8l6khhh9,html-keyboard-response,26,330980,0.0-11.0-5.3-1.3,Chrome,135.0,iOS,16.6.1,undefined,true,414 x 896,980 x 1704,https://exponline.ugr.es/publix/939/983/start?srid=18259,67b89f64c09d83ec36fdd403,3,28,South Africa,Female,Left-handed,Exp,dot_recog,,0,1,,,,
4,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,5,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,h421uee8l6khhh9,html-keyboard-response,30,337009,0.0-11.0-5.4-1.4,Chrome,135.0,iOS,16.6.1,undefined,true,414 x 896,980 x 1704,https://exponline.ugr.es/publix/939/983/start?srid=18259,67b89f64c09d83ec36fdd403,3,28,South Africa,Female,Left-handed,Exp,dot_recog,,0,1,,,,
5,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,6,0,dot,sardine,sardine_mooney_dot_off4,target,horizontal_flip,pre,off,h421uee8l6khhh9,html-keyboard-response,34,343033,0.0-11.0-5.5-1.5,Chrome,135.0,iOS,16.6.1,undefined,true,414 x 896,980 x 1704,https://exponline.ugr.es/publix/939/983/start?srid=18259,67b89f64c09d83ec36fdd403,3,28,South Africa,Female,Left-handed,Exp,dot_recog,,0,1,,,,
6,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,7,0,dot,gargoyle,gargoyle_mooney_dot_on1,catch,regular,pre,on,h421uee8l6khhh9,html-keyboard-response,38,349093,0.0-11.0-5.6-1.6,Chrome,135.0,iOS,16.6.1,undefined,true,414 x 896,980 x 1704,https://exponline.ugr.es/publix/939/983/start?srid=18259,67b89f64c09d83ec36fdd403,3,28,South Africa,Female,Left-handed,Exp,dot_recog,,0,0,,,,
7,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,8,0,dot,aloe,aloe_mooney_dot_on1,target,upside_down,pre,on,h421uee8l6khhh9,html-keyboard-response,42,355160,0.0-11.0-5.7-1.7,Chrome,135.0,iOS,16.6.1,undefined,true,414 x 896,980 x 1704,https://exponline.ugr.es/publix/939/983/start?srid=18259,67b89f64c09d83ec36fdd403,3,28,South Africa,Female,Left-handed,Exp,dot_recog,,0,0,,,,
8,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,9,0,dot,gargoyle,gargoyle_mooney_dot_on3,catch,regular,pre,on,h421uee8l6khhh9,html-keyboard-response,46,361251,0.0-11.0-5.8-1.8,Chrome,135.0,iOS,16.6.1,undefined,true,414 x 896,980 x 1704,https://exponline.ugr.es/publix/939/983/start?srid=18259,67b89f64c09d83ec36fdd403,3,28,South Africa,Female,Left-handed,Exp,dot_recog,,0,0,,,,
9,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,10,0,dot,sardine,sardine_mooney_dot_on3,target,horizontal_flip,pre,on,h421uee8l6khhh9,html-keyboard-response,50,367357,0.0-11.0-5.9-1.9,Chrome,135.0,iOS,16.6.1,undefined,true,414 x 896,980 x 1704,https://exponline.ugr.es/publix/939/983/start?srid=18259,67b89f64c09d83ec36fdd403,3,28,South Africa,Female,Left-handed,Exp,dot_recog,,0,0,,,,
