index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,carriage,carriage_mooney_dot_off4,catch,regular,pre,off,h6bdf93ypkntgzu,html-keyboard-response,14,291702,0.0-11.0-5.0-1.0,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,,0,1,,,,
1,1558.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,regular,pre,off,h6bdf93ypkntgzu,html-keyboard-response,18,294263,0.0-11.0-5.1-1.1,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
2,1065.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,grasshopper,grasshopper_mooney_dot_on1,target,horizontal_flip,pre,on,h6bdf93ypkntgzu,html-keyboard-response,22,296333,0.0-11.0-5.2-1.2,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
3,819.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,regular,pre,on,h6bdf93ypkntgzu,html-keyboard-response,26,298156,0.0-11.0-5.3-1.3,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
4,896.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,grasshopper,grasshopper_mooney_dot_off4,target,horizontal_flip,pre,off,h6bdf93ypkntgzu,html-keyboard-response,30,300057,0.0-11.0-5.4-1.4,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,1423.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,snail,snail_mooney_dot_on1,target,upside_down,pre,on,h6bdf93ypkntgzu,html-keyboard-response,34,302485,0.0-11.0-5.5-1.5,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
6,827.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,grasshopper,grasshopper_mooney_dot_off2,target,horizontal_flip,pre,off,h6bdf93ypkntgzu,html-keyboard-response,38,304317,0.0-11.0-5.6-1.6,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
7,808.5999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,carriage,carriage_mooney_dot_off2,catch,regular,pre,off,h6bdf93ypkntgzu,html-keyboard-response,42,306131,0.0-11.0-5.7-1.7,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
8,902.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,snail,snail_mooney_dot_off2,target,upside_down,pre,off,h6bdf93ypkntgzu,html-keyboard-response,46,308038,0.0-11.0-5.8-1.8,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
9,675.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,carriage,carriage_mooney_dot_on3,catch,regular,pre,on,h6bdf93ypkntgzu,html-keyboard-response,50,309718,0.0-11.0-5.9-1.9,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
10,575.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,regular,pre,on,h6bdf93ypkntgzu,html-keyboard-response,54,311298,0.0-11.0-5.10-1.10,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
11,1462.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,12,0,dot,grasshopper,grasshopper_mooney_dot_on3,target,horizontal_flip,pre,on,h6bdf93ypkntgzu,html-keyboard-response,58,313764,0.0-11.0-5.11-1.11,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
12,2602.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,carriage,carriage_mooney_dot_on1,catch,regular,pre,on,h6bdf93ypkntgzu,html-keyboard-response,62,317372,0.0-11.0-5.12-1.12,Chrome,134.0,macOS,10.15.7,undefined,undefined,1600 x 900,1600 x 812,https://exponline.ugr.es/publix/939/983/start?srid=18235,65cf6d8a589a67afcab54e6f,14,34,Greece,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
