index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,h7cbcr6hddx4xh9,html-keyboard-response,14,268256,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
1,1061.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,sandal,sandal_mooney_dot_off4,target,horizontal_flip,pre,off,h7cbcr6hddx4xh9,html-keyboard-response,18,270330,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
2,920.8000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,grasshopper,grasshopper_mooney_dot_on1,catch,regular,pre,on,h7cbcr6hddx4xh9,html-keyboard-response,22,272262,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
3,1209.1999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,h7cbcr6hddx4xh9,html-keyboard-response,26,274479,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
4,1674.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,h7cbcr6hddx4xh9,html-keyboard-response,30,277164,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
5,1279.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,h7cbcr6hddx4xh9,html-keyboard-response,34,279449,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
6,1513.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,grasshopper,grasshopper_mooney_dot_off2,catch,regular,pre,off,h7cbcr6hddx4xh9,html-keyboard-response,38,281978,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
7,900,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,h7cbcr6hddx4xh9,html-keyboard-response,42,283894,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
8,708.1999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,h7cbcr6hddx4xh9,html-keyboard-response,46,285614,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
9,951.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,grasshopper,grasshopper_mooney_dot_off4,catch,regular,pre,off,h7cbcr6hddx4xh9,html-keyboard-response,50,287579,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
10,1415.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,11,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,upside_down,pre,on,h7cbcr6hddx4xh9,html-keyboard-response,54,290007,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
11,1007.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,egg_roll,egg_roll_mooney_dot_on1,target,regular,pre,on,h7cbcr6hddx4xh9,html-keyboard-response,58,292034,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
12,1168.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,sandal,sandal_mooney_dot_on1,target,horizontal_flip,pre,on,h7cbcr6hddx4xh9,html-keyboard-response,62,294220,0.0-11.0-5.12-1.12,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
13,1098.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,14,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,h7cbcr6hddx4xh9,html-keyboard-response,66,296329,0.0-11.0-5.13-1.13,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 606,https://exponline.ugr.es/publix/939/983/start?srid=18160,6163264fa94cc08756567f81,2,34,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
