index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2507,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,aloe,aloe_mooney_dot_off2,catch,regular,pre,off,hf5ry7lw9tlkokh,html-keyboard-response,14,976533,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,508 x 238,https://exponline.ugr.es/publix/939/983/start?srid=18305,67892a8a993e7b195e667aab,8,28,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
1,1140,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,buoy,buoy_mooney_dot_on1,target,horizontal_flip,pre,on,hf5ry7lw9tlkokh,html-keyboard-response,18,978684,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,508 x 238,https://exponline.ugr.es/publix/939/983/start?srid=18305,67892a8a993e7b195e667aab,8,28,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
2,1431,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,hf5ry7lw9tlkokh,html-keyboard-response,22,981132,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,508 x 238,https://exponline.ugr.es/publix/939/983/start?srid=18305,67892a8a993e7b195e667aab,8,28,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
3,2098,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,regular,pre,off,hf5ry7lw9tlkokh,html-keyboard-response,26,984245,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,508 x 238,https://exponline.ugr.es/publix/939/983/start?srid=18305,67892a8a993e7b195e667aab,8,28,South Africa,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
4,802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,buoy,buoy_mooney_dot_on3,target,horizontal_flip,pre,on,hf5ry7lw9tlkokh,html-keyboard-response,30,986052,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,508 x 238,https://exponline.ugr.es/publix/939/983/start?srid=18305,67892a8a993e7b195e667aab,8,28,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
5,956,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,hf5ry7lw9tlkokh,html-keyboard-response,34,988020,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,508 x 238,https://exponline.ugr.es/publix/939/983/start?srid=18305,67892a8a993e7b195e667aab,8,28,South Africa,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
6,974,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,aloe,aloe_mooney_dot_on1,catch,regular,pre,on,hf5ry7lw9tlkokh,html-keyboard-response,38,990012,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,508 x 238,https://exponline.ugr.es/publix/939/983/start?srid=18305,67892a8a993e7b195e667aab,8,28,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
7,920,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,buoy,buoy_mooney_dot_off2,target,horizontal_flip,pre,off,hf5ry7lw9tlkokh,html-keyboard-response,42,991940,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,508 x 238,https://exponline.ugr.es/publix/939/983/start?srid=18305,67892a8a993e7b195e667aab,8,28,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
8,2472,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,aloe,aloe_mooney_dot_on3,catch,regular,pre,on,hf5ry7lw9tlkokh,html-keyboard-response,46,995428,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,508 x 238,https://exponline.ugr.es/publix/939/983/start?srid=18305,67892a8a993e7b195e667aab,8,28,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
9,1227,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,regular,pre,off,hf5ry7lw9tlkokh,html-keyboard-response,50,997669,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,508 x 238,https://exponline.ugr.es/publix/939/983/start?srid=18305,67892a8a993e7b195e667aab,8,28,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
