index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,view_history,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,puffin,puffin_mooney_dot_off4,target,regular,pre,off,hk2yrodd1sm9qe5,html-keyboard-response,14,486765,0.0-11.0-5.0-1.0,Chrome,132.0,Linux,,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/983/start?srid=18282,65fb71b3ec79b34dccc04c76,19,30,Morocco,Female,Right-handed,Exp,dot_recog,,0,1,,,,,
1,1780.3999996185303,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,parking_meter,parking_meter_mooney_dot_on3,catch,regular,pre,on,hk2yrodd1sm9qe5,html-keyboard-response,18,489547,0.0-11.0-5.1-1.1,Chrome,132.0,Linux,,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/983/start?srid=18282,65fb71b3ec79b34dccc04c76,19,30,Morocco,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,1565.7999997138977,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,snail,snail_mooney_dot_off4,target,upside_down,pre,off,hk2yrodd1sm9qe5,html-keyboard-response,22,492115,0.0-11.0-5.2-1.2,Chrome,132.0,Linux,,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/983/start?srid=18282,65fb71b3ec79b34dccc04c76,19,30,Morocco,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
3,3950.6000003814697,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,puffin,puffin_mooney_dot_on3,target,regular,pre,on,hk2yrodd1sm9qe5,html-keyboard-response,26,497067,0.0-11.0-5.3-1.3,Chrome,132.0,Linux,,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/983/start?srid=18282,65fb71b3ec79b34dccc04c76,19,30,Morocco,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
4,2318.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,snail,snail_mooney_dot_off2,target,upside_down,pre,off,hk2yrodd1sm9qe5,html-keyboard-response,30,500387,0.0-11.0-5.4-1.4,Chrome,132.0,Linux,,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/983/start?srid=18282,65fb71b3ec79b34dccc04c76,19,30,Morocco,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
5,2110.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,parking_meter,parking_meter_mooney_dot_off4,catch,regular,pre,off,hk2yrodd1sm9qe5,html-keyboard-response,34,503499,0.0-11.0-5.5-1.5,Chrome,132.0,Linux,,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/983/start?srid=18282,65fb71b3ec79b34dccc04c76,19,30,Morocco,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
6,2062.2000002861023,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,hk2yrodd1sm9qe5,html-keyboard-response,38,506563,0.0-11.0-5.6-1.6,Chrome,132.0,Linux,,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/983/start?srid=18282,65fb71b3ec79b34dccc04c76,19,30,Morocco,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,1734.0999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,snail,snail_mooney_dot_on1,target,upside_down,pre,on,hk2yrodd1sm9qe5,html-keyboard-response,42,509299,0.0-11.0-5.7-1.7,Chrome,132.0,Linux,,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/983/start?srid=18282,65fb71b3ec79b34dccc04c76,19,30,Morocco,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,2342.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,puffin,puffin_mooney_dot_on1,target,regular,pre,on,hk2yrodd1sm9qe5,html-keyboard-response,46,512643,0.0-11.0-5.8-1.8,Chrome,132.0,Linux,,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/983/start?srid=18282,65fb71b3ec79b34dccc04c76,19,30,Morocco,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
9,2006,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,hk2yrodd1sm9qe5,html-keyboard-response,50,515651,0.0-11.0-5.9-1.9,Chrome,132.0,Linux,,undefined,undefined,1920 x 1080,1920 x 927,https://exponline.ugr.es/publix/939/983/start?srid=18282,65fb71b3ec79b34dccc04c76,19,30,Morocco,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
