index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1593.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,jp2fwqx08u5sqdg,html-keyboard-response,14,941682,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18219,65e1204f1bee2811d7894471,2,32,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
1,1732.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,sandal,sandal_mooney_dot_off4,target,horizontal_flip,pre,off,jp2fwqx08u5sqdg,html-keyboard-response,18,944429,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18219,65e1204f1bee2811d7894471,2,32,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
2,1333.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,grasshopper,grasshopper_mooney_dot_on1,catch,regular,pre,on,jp2fwqx08u5sqdg,html-keyboard-response,22,946783,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18219,65e1204f1bee2811d7894471,2,32,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
3,1334.3999998569489,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,jp2fwqx08u5sqdg,html-keyboard-response,26,949129,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18219,65e1204f1bee2811d7894471,2,32,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
4,1454.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,jp2fwqx08u5sqdg,html-keyboard-response,30,951598,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18219,65e1204f1bee2811d7894471,2,32,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
5,1753.6000001430511,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,jp2fwqx08u5sqdg,html-keyboard-response,34,954372,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18219,65e1204f1bee2811d7894471,2,32,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
6,1579.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,grasshopper,grasshopper_mooney_dot_off2,catch,regular,pre,off,jp2fwqx08u5sqdg,html-keyboard-response,38,956969,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18219,65e1204f1bee2811d7894471,2,32,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
7,1066,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,jp2fwqx08u5sqdg,html-keyboard-response,42,959046,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18219,65e1204f1bee2811d7894471,2,32,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
8,1100.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,jp2fwqx08u5sqdg,html-keyboard-response,46,961161,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18219,65e1204f1bee2811d7894471,2,32,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
9,1067.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,grasshopper,grasshopper_mooney_dot_off4,catch,regular,pre,off,jp2fwqx08u5sqdg,html-keyboard-response,50,963245,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18219,65e1204f1bee2811d7894471,2,32,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
