index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2391.899999856949,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,sandal,sandal_mooney_dot_off4,target,regular,pre,off,jwhv386dpowoqed,html-keyboard-response,14,431555,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,0,,,,
1,1464.6999998092651,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,jwhv386dpowoqed,html-keyboard-response,18,434028,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,0,,,,
2,1370.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,bat2,bat2_mooney_dot_off4,target,upside_down,pre,off,jwhv386dpowoqed,html-keyboard-response,22,436408,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,0,,,,
3,2002,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,axe,axe_mooney_dot_on1,target,horizontal_flip,pre,on,jwhv386dpowoqed,html-keyboard-response,26,439429,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,e,0,0,,,,
4,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,5,0,dot,banana_peel,banana_peel_mooney_dot_on1,catch,regular,pre,on,jwhv386dpowoqed,html-keyboard-response,30,445443,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,,0,0,,,,
5,1546.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,axe,axe_mooney_dot_off4,target,horizontal_flip,pre,off,jwhv386dpowoqed,html-keyboard-response,34,448008,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
6,1798.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,bat2,bat2_mooney_dot_on1,target,upside_down,pre,on,jwhv386dpowoqed,html-keyboard-response,38,450813,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,e,0,0,,,,
7,1303.8999998569489,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,axe,axe_mooney_dot_on3,target,horizontal_flip,pre,on,jwhv386dpowoqed,html-keyboard-response,42,453125,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,1,,,,
8,1392.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,banana_peel,banana_peel_mooney_dot_off2,catch,regular,pre,off,jwhv386dpowoqed,html-keyboard-response,46,455530,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,0,,,,
9,1334.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,bat2,bat2_mooney_dot_off2,target,upside_down,pre,off,jwhv386dpowoqed,html-keyboard-response,50,457873,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,0,,,,
10,1356.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,banana_peel,banana_peel_mooney_dot_on3,catch,regular,pre,on,jwhv386dpowoqed,html-keyboard-response,54,460238,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,1,,,,
11,1423.1999998092651,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,sandal,sandal_mooney_dot_on3,target,regular,pre,on,jwhv386dpowoqed,html-keyboard-response,58,462687,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,1,,,,
12,1191.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,axe,axe_mooney_dot_off2,target,horizontal_flip,pre,off,jwhv386dpowoqed,html-keyboard-response,62,464896,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,0,,,,
13,1112.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,14,0,dot,sandal,sandal_mooney_dot_on1,target,regular,pre,on,jwhv386dpowoqed,html-keyboard-response,66,467013,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,1,,,,
14,1099.0999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,15,0,dot,bat2,bat2_mooney_dot_on3,target,upside_down,pre,on,jwhv386dpowoqed,html-keyboard-response,70,469119,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,1,,,,
15,1788.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,sandal,sandal_mooney_dot_off2,target,regular,pre,off,jwhv386dpowoqed,html-keyboard-response,74,471920,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/983/start?srid=18224,67dc7f603e2149e02de92875,33,34,United States,Male,Left-handed,Exp,dot_recog,i,1,0,,,,
