index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,392761,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,2596.600000023842,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,gutter,gutter_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
18,,,,,,html-keyboard-response,18,395901,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,2122.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,aloe,aloe_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
22,,,,,,html-keyboard-response,22,400231,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,3311.7000000476837,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,steak,steak_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,
26,,,,,,html-keyboard-response,26,402574,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1332.5999999046326,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,buoy,buoy_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
30,,,,,,html-keyboard-response,30,404633,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1043.2999999523163,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,gutter,gutter_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
34,,,,,,html-keyboard-response,34,406601,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,944.8000000715256,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,steak,steak_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
38,,,,,,html-keyboard-response,38,409308,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1691.7999999523163,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,aloe,aloe_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,e,0,0,,,
42,,,,,,html-keyboard-response,42,413015,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,2683.3000000715256,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,gutter,gutter_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
46,,,,,,html-keyboard-response,46,414974,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,939.7999999523163,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,steak,steak_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,
50,,,,,,html-keyboard-response,50,419042,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,3056.7999999523163,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,buoy,buoy_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
54,,,,,,html-keyboard-response,54,421282,0.0-11.0-5.10-1.10,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1225.3999999761581,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,11,0,dot,steak,steak_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,
58,,,,,,html-keyboard-response,58,426924,0.0-11.0-5.11-1.11,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,4625.899999976158,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,gutter,gutter_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
62,,,,,,html-keyboard-response,62,429367,0.0-11.0-5.12-1.12,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1364 x 681,jxuvqk054h23be6,https://exponline.ugr.es/publix/939/983/start?srid=18218,67f029e22e5e1c69ddbd02a7,12,34,United States,Male,Left-handed,,1417.1000000238419,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,aloe,aloe_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
