index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3777.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,jz5pss434posq7o,html-keyboard-response,14,534346,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1512 x 982,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18269,67e663fe9ab093544bba1e34,22,34,United States,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
1,1136.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,jz5pss434posq7o,html-keyboard-response,18,536494,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1512 x 982,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18269,67e663fe9ab093544bba1e34,22,34,United States,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
2,864.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,regular,pre,off,jz5pss434posq7o,html-keyboard-response,22,538372,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1512 x 982,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18269,67e663fe9ab093544bba1e34,22,34,United States,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
3,1238.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,jz5pss434posq7o,html-keyboard-response,26,540628,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1512 x 982,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18269,67e663fe9ab093544bba1e34,22,34,United States,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
4,1100.6000000089407,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,banana_peel,banana_peel_mooney_dot_on1,target,regular,pre,on,jz5pss434posq7o,html-keyboard-response,30,542746,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1512 x 982,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18269,67e663fe9ab093544bba1e34,22,34,United States,Male,Left-handed,Exp,dot_recog,e,0,0,,,,
5,2154,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,jz5pss434posq7o,html-keyboard-response,34,545918,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1512 x 982,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18269,67e663fe9ab093544bba1e34,22,34,United States,Male,Left-handed,Exp,dot_recog,e,0,0,,,,
6,1205.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,bat2,bat2_mooney_dot_on1,target,horizontal_flip,pre,on,jz5pss434posq7o,html-keyboard-response,38,548146,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1512 x 982,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18269,67e663fe9ab093544bba1e34,22,34,United States,Male,Left-handed,Exp,dot_recog,e,0,0,,,,
7,2657.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,banana_peel,banana_peel_mooney_dot_on3,target,regular,pre,on,jz5pss434posq7o,html-keyboard-response,42,551820,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1512 x 982,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18269,67e663fe9ab093544bba1e34,22,34,United States,Male,Left-handed,Exp,dot_recog,e,0,0,,,,
8,1550.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,backpack,backpack_mooney_dot_off4,target,upside_down,pre,off,jz5pss434posq7o,html-keyboard-response,46,554390,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1512 x 982,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18269,67e663fe9ab093544bba1e34,22,34,United States,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
9,1730.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,regular,pre,off,jz5pss434posq7o,html-keyboard-response,50,557133,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1512 x 982,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18269,67e663fe9ab093544bba1e34,22,34,United States,Male,Left-handed,Exp,dot_recog,e,0,1,,,,
