index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3318.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,sandal,sandal_mooney_dot_off4,target,regular,pre,off,lxajcdmjfr12ws9,html-keyboard-response,14,462445,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1280 x 768,1280 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18250,66b9220f00e6d0666487b8f6,33,38,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
1,816.6999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,lxajcdmjfr12ws9,html-keyboard-response,18,464268,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1280 x 768,1280 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18250,66b9220f00e6d0666487b8f6,33,38,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
2,858.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,bat2,bat2_mooney_dot_off4,target,upside_down,pre,off,lxajcdmjfr12ws9,html-keyboard-response,22,466133,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1280 x 768,1280 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18250,66b9220f00e6d0666487b8f6,33,38,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
3,4049.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,axe,axe_mooney_dot_on1,target,horizontal_flip,pre,on,lxajcdmjfr12ws9,html-keyboard-response,26,471189,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1280 x 768,1280 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18250,66b9220f00e6d0666487b8f6,33,38,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
4,3697.2000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,banana_peel,banana_peel_mooney_dot_on1,catch,regular,pre,on,lxajcdmjfr12ws9,html-keyboard-response,30,475893,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1280 x 768,1280 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18250,66b9220f00e6d0666487b8f6,33,38,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
5,2545.7000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,axe,axe_mooney_dot_off4,target,horizontal_flip,pre,off,lxajcdmjfr12ws9,html-keyboard-response,34,479444,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1280 x 768,1280 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18250,66b9220f00e6d0666487b8f6,33,38,South Africa,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
6,3379,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,bat2,bat2_mooney_dot_on1,target,upside_down,pre,on,lxajcdmjfr12ws9,html-keyboard-response,38,483829,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1280 x 768,1280 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18250,66b9220f00e6d0666487b8f6,33,38,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
7,1448.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,axe,axe_mooney_dot_on3,target,horizontal_flip,pre,on,lxajcdmjfr12ws9,html-keyboard-response,42,486284,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1280 x 768,1280 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18250,66b9220f00e6d0666487b8f6,33,38,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
8,1281.2000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,banana_peel,banana_peel_mooney_dot_off2,catch,regular,pre,off,lxajcdmjfr12ws9,html-keyboard-response,46,488573,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1280 x 768,1280 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18250,66b9220f00e6d0666487b8f6,33,38,South Africa,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
9,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,10,0,dot,bat2,bat2_mooney_dot_off2,target,upside_down,pre,off,lxajcdmjfr12ws9,html-keyboard-response,50,494581,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1280 x 768,1280 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18250,66b9220f00e6d0666487b8f6,33,38,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
