index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,290157,0.0-11.0-5.0-1.0,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,2888,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,gargoyle,gargoyle_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,i,0,0,,,
18,,,,,,html-keyboard-response,18,293074,0.0-11.0-5.1-1.1,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1879,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,puddle,puddle_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,
22,,,,,,html-keyboard-response,22,299106,0.0-11.0-5.2-1.2,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,3,0,dot,steak,steak_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,,0,0,,,
26,,,,,,html-keyboard-response,26,301919,0.0-11.0-5.3-1.3,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1791,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,punching_bag,punching_bag_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
30,,,,,,html-keyboard-response,30,304512,0.0-11.0-5.4-1.4,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1571,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,i,0,1,,,
34,,,,,,html-keyboard-response,34,307240,0.0-11.0-5.5-1.5,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1689,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,steak,steak_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
38,,,,,,html-keyboard-response,38,309887,0.0-11.0-5.6-1.6,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1617,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,punching_bag,punching_bag_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
42,,,,,,html-keyboard-response,42,313263,0.0-11.0-5.7-1.7,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,2352,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,gargoyle,gargoyle_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
46,,,,,,html-keyboard-response,46,315934,0.0-11.0-5.8-1.8,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1653,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,steak,steak_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
50,,,,,,html-keyboard-response,50,318621,0.0-11.0-5.9-1.9,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1647,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
54,,,,,,html-keyboard-response,54,320647,0.0-11.0-5.10-1.10,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,977,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,11,0,dot,punching_bag,punching_bag_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
58,,,,,,html-keyboard-response,58,325487,0.0-11.0-5.11-1.11,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,3823,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,steak,steak_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
62,,,,,,html-keyboard-response,62,328097,0.0-11.0-5.12-1.12,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1584,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,13,0,dot,gargoyle,gargoyle_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,i,0,1,,,
66,,,,,,html-keyboard-response,66,330192,0.0-11.0-5.13-1.13,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1059,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,14,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
70,,,,,,html-keyboard-response,70,332409,0.0-11.0-5.14-1.14,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1199,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,15,0,dot,punching_bag,punching_bag_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
74,,,,,,html-keyboard-response,74,334425,0.0-11.0-5.15-1.15,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,993,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,16,0,dot,puddle,puddle_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
82,,,,,,survey-text-autocomplete,82,349344,0.0-11.0-6.16-4.16,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,,"{""recognition"":""tiger""}",,,,,,,,,,,,,,,17,0,recognition,gargoyle,gargoyle_mooney,catch,regular,pre,null,Exp,Recognition,,,,tiger,0.616830993807155,0.0
89,,,,,,survey-text-autocomplete,89,357737,0.0-11.0-6.17-4.17,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,,"{""recognition"":""door""}",,,,,,,,,,,,,,,18,0,recognition,punching_bag,punching_bag_mooney,target,upside_down,pre,null,Exp,Recognition,,,,door,0.8389083283861721,0.0
96,,,,,,survey-text-autocomplete,96,366337,0.0-11.0-6.18-4.18,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,,"{""recognition"":""tiger""}",,,,,,,,,,,,,,,19,0,recognition,puddle,puddle_mooney,target,regular,pre,null,Exp,Recognition,,,,tiger,0.7468697927731637,0.0
103,,,,,,survey-text-autocomplete,103,380700,0.0-11.0-6.19-4.19,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,,"{""recognition"":""tiger""}",,,,,,,,,,,,,,,20,0,recognition,steak,steak_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,tiger,0.6986122819855565,0.0
110,,,,,,survey-text-autocomplete,110,388154,0.0-11.0-6.20-4.20,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,,"{""recognition"":""door""}",,,,,,,,,,,,,,,21,0,recognition,punching_bag,punching_bag,target,upside_down,color,null,Exp,Recognition,,,,door,0.8389083283861721,0.0
117,,,,,,survey-text-autocomplete,117,393953,0.0-11.0-6.21-4.21,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,,"{""recognition"":""door""}",,,,,,,,,,,,,,,22,0,recognition,puddle,puddle,target,regular,color,null,Exp,Recognition,,,,door,0.7291741930270524,0.0
124,,,,,,survey-text-autocomplete,124,404056,0.0-11.0-6.22-4.22,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,,"{""recognition"":""wood""}",,,,,,,,,,,,,,,23,0,recognition,steak,steak,target,horizontal_flip,color,null,Exp,Recognition,,,,wood,0.6199123918015528,0.0
130,,,,,,html-keyboard-response,130,423348,0.0-11.0-5.23-1.23,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,24,1,dot,bullet,bullet_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,,0,1,,,
134,,,,,,html-keyboard-response,134,427905,0.0-11.0-5.24-1.24,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,3540,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off8.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,25,1,dot,steak,steak_mooney_dot_off8,target,horizontal_flip,post,off,Exp,dot_recog,e,1,0,,,
138,,,,,,html-keyboard-response,138,430671,0.0-11.0-5.25-1.25,Chrome,129.0,macOS,10.15.7,undefined,undefined,1366 x 768,500 x 600,m2mlk4x0fs8jz09,https://exponline.ugr.es/publix/939/983/start?srid=18279,67a4b68ee52aa4537437ca85,18,38,United States,Female,Right-handed,,1741,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on7.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,26,1,dot,puddle,puddle_mooney_dot_on7,target,regular,post,on,Exp,dot_recog,e,1,1,,,
