index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,m8chyx54l9s89vl,html-keyboard-response,14,274577,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,2048 x 1280,1290 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18294,604b169fe4b7991ec08da3a6,20,33,Germany,Male,Right-handed,Exp,dot_recog,,0,0,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,2,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,m8chyx54l9s89vl,html-keyboard-response,18,280587,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,2048 x 1280,1290 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18294,604b169fe4b7991ec08da3a6,20,33,Germany,Male,Right-handed,Exp,dot_recog,,0,0,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,3,0,dot,scarf,scarf_mooney_dot_on3,catch,regular,pre,on,m8chyx54l9s89vl,html-keyboard-response,22,286613,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,2048 x 1280,1290 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18294,604b169fe4b7991ec08da3a6,20,33,Germany,Male,Right-handed,Exp,dot_recog,,0,0,,,,
3,2360.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,axe,axe_mooney_dot_on1,target,upside_down,pre,on,m8chyx54l9s89vl,html-keyboard-response,26,289987,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,2048 x 1280,1290 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18294,604b169fe4b7991ec08da3a6,20,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
4,1316.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,m8chyx54l9s89vl,html-keyboard-response,30,292316,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,2048 x 1280,1290 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18294,604b169fe4b7991ec08da3a6,20,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,1788.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,m8chyx54l9s89vl,html-keyboard-response,34,295124,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,2048 x 1280,1290 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18294,604b169fe4b7991ec08da3a6,20,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
6,1701.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,axe,axe_mooney_dot_off2,target,upside_down,pre,off,m8chyx54l9s89vl,html-keyboard-response,38,297848,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,2048 x 1280,1290 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18294,604b169fe4b7991ec08da3a6,20,33,Germany,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
7,1309.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,m8chyx54l9s89vl,html-keyboard-response,42,300172,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,2048 x 1280,1290 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18294,604b169fe4b7991ec08da3a6,20,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
8,1095,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,scarf,scarf_mooney_dot_off2,catch,regular,pre,off,m8chyx54l9s89vl,html-keyboard-response,46,302281,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,2048 x 1280,1290 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18294,604b169fe4b7991ec08da3a6,20,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
9,1051.8999998569489,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,axe,axe_mooney_dot_on3,target,upside_down,pre,on,m8chyx54l9s89vl,html-keyboard-response,50,304353,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,2048 x 1280,1290 x 790,https://exponline.ugr.es/publix/939/983/start?srid=18294,604b169fe4b7991ec08da3a6,20,33,Germany,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
