index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,491119,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,2109.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,backpack,backpack_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,0,0,,,
18,,,,,,html-keyboard-response,18,494332,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,2204.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
22,,,,,,html-keyboard-response,22,497207,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,1856.5999999940395,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,bullet,bullet_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
26,,,,,,html-keyboard-response,26,501000,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,2781.199999988079,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,bat2,bat2_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,
30,,,,,,html-keyboard-response,30,503941,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,1934.9000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,carriage,carriage_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
34,,,,,,html-keyboard-response,34,506769,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,1824.6000000238419,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,backpack,backpack_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
38,,,,,,html-keyboard-response,38,509517,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,1733.2000000178814,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,bullet,bullet_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,e,0,1,,,
42,,,,,,html-keyboard-response,42,512961,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,2434.4000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,
46,,,,,,html-keyboard-response,46,515955,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,1977.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,carriage,carriage_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
50,,,,,,html-keyboard-response,50,518569,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,1597.2999999821186,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,bullet,bullet_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
54,,,,,,html-keyboard-response,54,521439,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,1858.9000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,backpack,backpack_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
58,,,,,,html-keyboard-response,58,524682,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,2235.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,12,0,dot,carriage,carriage_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
62,,,,,,html-keyboard-response,62,527327,0.0-11.0-5.12-1.12,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,1641.300000011921,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,backpack,backpack_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
66,,,,,,html-keyboard-response,66,530095,0.0-11.0-5.13-1.13,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,1755.199999988079,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,14,0,dot,carriage,carriage_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
70,,,,,,html-keyboard-response,70,532549,0.0-11.0-5.14-1.14,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,1435.300000011921,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,15,0,dot,bullet,bullet_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
74,,,,,,html-keyboard-response,74,535715,0.0-11.0-5.15-1.15,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,2154.9000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,bat2,bat2_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
82,,,,,,survey-text-autocomplete,82,548983,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,,"{""recognition"":""fruit""}",,,,,17,0,recognition,bullet,bullet_mooney,catch,regular,pre,null,Exp,Recognition,,,,fruit,0.8236516734172148,0.0
89,,,,,,survey-text-autocomplete,89,555865,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,,"{""recognition"":""pear""}",,,,,18,0,recognition,backpack,backpack_mooney,target,regular,pre,null,Exp,Recognition,,,,pear,0.7979809471388113,0.0
96,,,,,,survey-text-autocomplete,96,564157,0.0-11.0-6.18-4.18,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,,"{""recognition"":""apple""}",,,,,19,0,recognition,carriage,carriage_mooney,target,upside_down,pre,null,Exp,Recognition,,,,apple,0.7979263356556769,0.0
103,,,,,,survey-text-autocomplete,103,570129,0.0-11.0-6.19-4.19,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,,"{""recognition"":""watermelon""}",,,,,20,0,recognition,bat2,bat2_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,watermelon,0.764055389585122,0.0
110,,,,,,survey-text-autocomplete,110,582771,0.0-11.0-6.20-4.20,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,,"{""recognition"":""banana""}",,,,,21,0,recognition,carriage,carriage,target,upside_down,color,null,Exp,Recognition,,,,banana,0.7760073258073832,0.0
117,,,,,,survey-text-autocomplete,117,588083,0.0-11.0-6.21-4.21,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,,"{""recognition"":""chair""}",,,,,22,0,recognition,bat2,bat2,target,horizontal_flip,color,null,Exp,Recognition,,,,chair,0.7295780951568054,0.0
124,,,,,,survey-text-autocomplete,124,597827,0.0-11.0-6.22-4.22,Chrome,135.0,Windows,10,undefined,undefined,1920 x 1080,1912 x 920,o22rswfo8fv7nfx,https://exponline.ugr.es/publix/939/983/start?srid=18216,602b981a69d3542d219a442c,16,25,South Africa,Male,Right-handed,,,"{""recognition"":""table""}",,,,,23,0,recognition,backpack,backpack,target,regular,color,null,Exp,Recognition,,,,table,0.7429811304318079,0.0
