index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2116,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,omf4tlyoz6g2yg9,html-keyboard-response,14,520119,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 714,https://exponline.ugr.es/publix/939/983/start?srid=18240,67e45dbb527afd0f86d55ada,22,33,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
1,1005.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,omf4tlyoz6g2yg9,html-keyboard-response,18,522140,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 714,https://exponline.ugr.es/publix/939/983/start?srid=18240,67e45dbb527afd0f86d55ada,22,33,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
2,1250.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,regular,pre,off,omf4tlyoz6g2yg9,html-keyboard-response,22,524404,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 714,https://exponline.ugr.es/publix/939/983/start?srid=18240,67e45dbb527afd0f86d55ada,22,33,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
3,1210.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,omf4tlyoz6g2yg9,html-keyboard-response,26,526624,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 714,https://exponline.ugr.es/publix/939/983/start?srid=18240,67e45dbb527afd0f86d55ada,22,33,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
4,1581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,banana_peel,banana_peel_mooney_dot_on1,target,regular,pre,on,omf4tlyoz6g2yg9,html-keyboard-response,30,529218,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 714,https://exponline.ugr.es/publix/939/983/start?srid=18240,67e45dbb527afd0f86d55ada,22,33,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
5,841.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,omf4tlyoz6g2yg9,html-keyboard-response,34,531070,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 714,https://exponline.ugr.es/publix/939/983/start?srid=18240,67e45dbb527afd0f86d55ada,22,33,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
6,1060,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,bat2,bat2_mooney_dot_on1,target,horizontal_flip,pre,on,omf4tlyoz6g2yg9,html-keyboard-response,38,533142,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 714,https://exponline.ugr.es/publix/939/983/start?srid=18240,67e45dbb527afd0f86d55ada,22,33,United States,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
7,1365.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,banana_peel,banana_peel_mooney_dot_on3,target,regular,pre,on,omf4tlyoz6g2yg9,html-keyboard-response,42,535520,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 714,https://exponline.ugr.es/publix/939/983/start?srid=18240,67e45dbb527afd0f86d55ada,22,33,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
8,872.2000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,backpack,backpack_mooney_dot_off4,target,upside_down,pre,off,omf4tlyoz6g2yg9,html-keyboard-response,46,537409,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 714,https://exponline.ugr.es/publix/939/983/start?srid=18240,67e45dbb527afd0f86d55ada,22,33,United States,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
9,1034.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,regular,pre,off,omf4tlyoz6g2yg9,html-keyboard-response,50,539460,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1536 x 714,https://exponline.ugr.es/publix/939/983/start?srid=18240,67e45dbb527afd0f86d55ada,22,33,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
