index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4281,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,gargoyle,gargoyle_mooney_dot_on1,catch,regular,pre,on,pc2e7szv88g8qo6,html-keyboard-response,14,542788,0.0-11.0-5.0-1.0,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
1,1660,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,puddle,puddle_mooney_dot_on1,target,regular,pre,on,pc2e7szv88g8qo6,html-keyboard-response,18,545468,0.0-11.0-5.1-1.1,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
2,1230.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,steak,steak_mooney_dot_on3,target,horizontal_flip,pre,on,pc2e7szv88g8qo6,html-keyboard-response,22,547716,0.0-11.0-5.2-1.2,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
3,913.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,punching_bag,punching_bag_mooney_dot_on3,target,upside_down,pre,on,pc2e7szv88g8qo6,html-keyboard-response,26,549642,0.0-11.0-5.3-1.3,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
4,1171.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,gargoyle,gargoyle_mooney_dot_off2,catch,regular,pre,off,pc2e7szv88g8qo6,html-keyboard-response,30,551828,0.0-11.0-5.4-1.4,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
5,1355.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,steak,steak_mooney_dot_on1,target,horizontal_flip,pre,on,pc2e7szv88g8qo6,html-keyboard-response,34,554195,0.0-11.0-5.5-1.5,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
6,1605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,punching_bag,punching_bag_mooney_dot_on1,target,upside_down,pre,on,pc2e7szv88g8qo6,html-keyboard-response,38,556817,0.0-11.0-5.6-1.6,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
7,1032.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,gargoyle,gargoyle_mooney_dot_on3,catch,regular,pre,on,pc2e7szv88g8qo6,html-keyboard-response,42,558873,0.0-11.0-5.7-1.7,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
8,675.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,steak,steak_mooney_dot_off4,target,horizontal_flip,pre,off,pc2e7szv88g8qo6,html-keyboard-response,46,560572,0.0-11.0-5.8-1.8,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
9,771.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,pc2e7szv88g8qo6,html-keyboard-response,50,562364,0.0-11.0-5.9-1.9,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
10,1007.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,11,0,dot,punching_bag,punching_bag_mooney_dot_off4,target,upside_down,pre,off,pc2e7szv88g8qo6,html-keyboard-response,54,564383,0.0-11.0-5.10-1.10,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,757 x 773,https://exponline.ugr.es/publix/939/983/start?srid=18164,677e31898dff5fc70830ec5b,18,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
