index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,sandal,sandal_mooney_dot_off4,target,regular,pre,off,pgd1awcxo6p1rvt,html-keyboard-response,14,352053,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 599,https://exponline.ugr.es/publix/939/983/start?srid=18190,614e1c414dff2e589169f360,33,31,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,pgd1awcxo6p1rvt,html-keyboard-response,18,358077,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 599,https://exponline.ugr.es/publix/939/983/start?srid=18190,614e1c414dff2e589169f360,33,31,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
2,1185.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,bat2,bat2_mooney_dot_off4,target,upside_down,pre,off,pgd1awcxo6p1rvt,html-keyboard-response,22,360284,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 599,https://exponline.ugr.es/publix/939/983/start?srid=18190,614e1c414dff2e589169f360,33,31,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
3,879.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,axe,axe_mooney_dot_on1,target,horizontal_flip,pre,on,pgd1awcxo6p1rvt,html-keyboard-response,26,362181,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 599,https://exponline.ugr.es/publix/939/983/start?srid=18190,614e1c414dff2e589169f360,33,31,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
4,636.6999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,banana_peel,banana_peel_mooney_dot_on1,catch,regular,pre,on,pgd1awcxo6p1rvt,html-keyboard-response,30,363831,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 599,https://exponline.ugr.es/publix/939/983/start?srid=18190,614e1c414dff2e589169f360,33,31,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
5,529.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,axe,axe_mooney_dot_off4,target,horizontal_flip,pre,off,pgd1awcxo6p1rvt,html-keyboard-response,34,365377,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 599,https://exponline.ugr.es/publix/939/983/start?srid=18190,614e1c414dff2e589169f360,33,31,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
6,582.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,bat2,bat2_mooney_dot_on1,target,upside_down,pre,on,pgd1awcxo6p1rvt,html-keyboard-response,38,366979,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 599,https://exponline.ugr.es/publix/939/983/start?srid=18190,614e1c414dff2e589169f360,33,31,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
7,939.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,axe,axe_mooney_dot_on3,target,horizontal_flip,pre,on,pgd1awcxo6p1rvt,html-keyboard-response,42,368927,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 599,https://exponline.ugr.es/publix/939/983/start?srid=18190,614e1c414dff2e589169f360,33,31,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
8,526.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,banana_peel,banana_peel_mooney_dot_off2,catch,regular,pre,off,pgd1awcxo6p1rvt,html-keyboard-response,46,370493,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 599,https://exponline.ugr.es/publix/939/983/start?srid=18190,614e1c414dff2e589169f360,33,31,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
9,424.89999997615814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,bat2,bat2_mooney_dot_off2,target,upside_down,pre,off,pgd1awcxo6p1rvt,html-keyboard-response,50,371929,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 599,https://exponline.ugr.es/publix/939/983/start?srid=18190,614e1c414dff2e589169f360,33,31,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
