index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,571011,0.0-11.0-5.0-1.0,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,4256.0999999940395,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,garlic,garlic_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
18,,,,,,html-keyboard-response,18,576815,0.0-11.0-5.1-1.1,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,4790,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,eclair,eclair_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
22,,,,,,html-keyboard-response,22,579820,0.0-11.0-5.2-1.2,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,1981.4000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,steak,steak_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
26,,,,,,html-keyboard-response,26,582633,0.0-11.0-5.3-1.3,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,1788.4000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
30,,,,,,html-keyboard-response,30,585545,0.0-11.0-5.4-1.4,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,1883.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,garlic,garlic_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
34,,,,,,html-keyboard-response,34,590377,0.0-11.0-5.5-1.5,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,3805.9000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
38,,,,,,html-keyboard-response,38,592756,0.0-11.0-5.6-1.6,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,1356.0999999940395,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,steak,steak_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
42,,,,,,html-keyboard-response,42,594377,0.0-11.0-5.7-1.7,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,601.4000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,garlic,garlic_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,
46,,,,,,html-keyboard-response,46,597393,0.0-11.0-5.8-1.8,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,1998.9000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,eclair,eclair_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
50,,,,,,html-keyboard-response,50,599530,0.0-11.0-5.9-1.9,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,1126.8999999761581,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,0,0,,,
54,,,,,,html-keyboard-response,54,601241,0.0-11.0-5.10-1.10,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,689.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,eclair,eclair_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
58,,,,,,html-keyboard-response,58,602911,0.0-11.0-5.11-1.11,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,644.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,12,0,dot,steak,steak_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,i,0,1,,,
62,,,,,,html-keyboard-response,62,604717,0.0-11.0-5.12-1.12,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,787.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,13,0,dot,dumbbell,dumbbell_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
66,,,,,,html-keyboard-response,66,606361,0.0-11.0-5.13-1.13,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1821 x 844,plc5vrqb4dtrbax,https://exponline.ugr.es/publix/939/983/start?srid=18292,67cc8253f92f85950cb43a1a,9,21,United States,Female,Right-handed,,615.3000000119209,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,14,0,dot,steak,steak_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,i,0,1,,,
