index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,regular,pre,on,ppmyfbf2ryestt6,html-keyboard-response,14,517257,0.0-11.0-5.0-1.0,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
1,854.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,axe,axe_mooney_dot_on3,catch,regular,pre,on,ppmyfbf2ryestt6,html-keyboard-response,20,529210,0.0-11.0-5.1-1.1,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
2,509.90000009536743,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,bullet,bullet_mooney_dot_on1,target,horizontal_flip,pre,on,ppmyfbf2ryestt6,html-keyboard-response,24,530737,0.0-11.0-5.2-1.2,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
3,545.3999998569489,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,rattlesnake,rattlesnake_mooney_dot_off2,target,upside_down,pre,off,ppmyfbf2ryestt6,html-keyboard-response,28,532306,0.0-11.0-5.3-1.3,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
4,492.60000014305115,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,regular,pre,off,ppmyfbf2ryestt6,html-keyboard-response,32,533810,0.0-11.0-5.4-1.4,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,421.40000009536743,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,rattlesnake,rattlesnake_mooney_dot_on3,target,upside_down,pre,on,ppmyfbf2ryestt6,html-keyboard-response,36,535246,0.0-11.0-5.5-1.5,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
6,467.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,ppmyfbf2ryestt6,html-keyboard-response,40,536729,0.0-11.0-5.6-1.6,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
7,435.80000019073486,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,bullet,bullet_mooney_dot_off4,target,horizontal_flip,pre,off,ppmyfbf2ryestt6,html-keyboard-response,44,538181,0.0-11.0-5.7-1.7,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
8,467.09999990463257,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,rattlesnake,rattlesnake_mooney_dot_on1,target,upside_down,pre,on,ppmyfbf2ryestt6,html-keyboard-response,48,539667,0.0-11.0-5.8-1.8,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
9,473.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,dumbbell,dumbbell_mooney_dot_on3,target,regular,pre,on,ppmyfbf2ryestt6,html-keyboard-response,52,541165,0.0-11.0-5.9-1.9,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
10,652.6000001430511,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,axe,axe_mooney_dot_off4,catch,regular,pre,off,ppmyfbf2ryestt6,html-keyboard-response,56,542829,0.0-11.0-5.10-1.10,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
11,479.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,12,0,dot,bullet,bullet_mooney_dot_off2,target,horizontal_flip,pre,off,ppmyfbf2ryestt6,html-keyboard-response,60,544330,0.0-11.0-5.11-1.11,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
12,449.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,13,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,ppmyfbf2ryestt6,html-keyboard-response,64,545798,0.0-11.0-5.12-1.12,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
13,492.59999990463257,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/rattlesnake_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,14,0,dot,rattlesnake,rattlesnake_mooney_dot_off4,target,upside_down,pre,off,ppmyfbf2ryestt6,html-keyboard-response,68,547300,0.0-11.0-5.13-1.13,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
14,555.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,15,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,regular,pre,off,ppmyfbf2ryestt6,html-keyboard-response,72,548871,0.0-11.0-5.14-1.14,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
15,510.90000009536743,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,bullet,bullet_mooney_dot_on3,target,horizontal_flip,pre,on,ppmyfbf2ryestt6,html-keyboard-response,76,550401,0.0-11.0-5.15-1.15,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
16,,,,17,0,recognition,dumbbell,dumbbell_mooney,target,regular,pre,null,ppmyfbf2ryestt6,survey-text-autocomplete,84,562918,0.0-11.0-6.16-4.16,Chrome,130.0,Windows,10,undefined,undefined,1600 x 900,1280 x 585,https://exponline.ugr.es/publix/939/983/start?srid=18156,67ee3eb8ab23e35a145a6e8d,0,31,United States,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""back pack""}",back_pack,0.5934604099862275,0.0
