index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1829.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,steak,steak_mooney_dot_off2,target,upside_down,pre,off,pzdsngbvbl7grx2,html-keyboard-response,14,300603,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
1,1343.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,magnifier,magnifier_mooney_dot_off2,catch,regular,pre,off,pzdsngbvbl7grx2,html-keyboard-response,18,302959,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
2,797.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,horizontal_flip,pre,on,pzdsngbvbl7grx2,html-keyboard-response,22,304764,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
3,851.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,candelabra,candelabra_mooney_dot_off4,target,regular,pre,off,pzdsngbvbl7grx2,html-keyboard-response,26,306633,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
4,697.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,magnifier,magnifier_mooney_dot_off4,catch,regular,pre,off,pzdsngbvbl7grx2,html-keyboard-response,30,308349,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
5,2459.100000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,horizontal_flip,pre,off,pzdsngbvbl7grx2,html-keyboard-response,34,311824,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
6,2416.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,candelabra,candelabra_mooney_dot_on3,target,regular,pre,on,pzdsngbvbl7grx2,html-keyboard-response,38,315250,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
7,2094.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,horizontal_flip,pre,off,pzdsngbvbl7grx2,html-keyboard-response,42,318350,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
8,4570.299999952316,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,candelabra,candelabra_mooney_dot_on1,target,regular,pre,on,pzdsngbvbl7grx2,html-keyboard-response,46,323926,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
9,805.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,steak,steak_mooney_dot_on3,target,upside_down,pre,on,pzdsngbvbl7grx2,html-keyboard-response,50,325740,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
10,2098,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,horizontal_flip,pre,on,pzdsngbvbl7grx2,html-keyboard-response,54,328856,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
11,1889.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,steak,steak_mooney_dot_on1,target,upside_down,pre,on,pzdsngbvbl7grx2,html-keyboard-response,58,331754,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
12,1190.5999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,magnifier,magnifier_mooney_dot_on1,catch,regular,pre,on,pzdsngbvbl7grx2,html-keyboard-response,62,333950,0.0-11.0-5.12-1.12,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18188,60c076e9ce50e01ef77bdcdb,21,28,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
