index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2096.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,r2ld6o4r24agr20,html-keyboard-response,14,1279279,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18242,67839886a09ff9fef57d6ba9,2,36,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
1,1394.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,sandal,sandal_mooney_dot_off4,target,horizontal_flip,pre,off,r2ld6o4r24agr20,html-keyboard-response,18,1281684,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18242,67839886a09ff9fef57d6ba9,2,36,Nigeria,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
2,965,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,grasshopper,grasshopper_mooney_dot_on1,catch,regular,pre,on,r2ld6o4r24agr20,html-keyboard-response,22,1283666,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18242,67839886a09ff9fef57d6ba9,2,36,Nigeria,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
3,1567.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,r2ld6o4r24agr20,html-keyboard-response,26,1286252,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18242,67839886a09ff9fef57d6ba9,2,36,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
4,2179.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,r2ld6o4r24agr20,html-keyboard-response,30,1289447,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18242,67839886a09ff9fef57d6ba9,2,36,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
5,1167.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,r2ld6o4r24agr20,html-keyboard-response,34,1291634,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18242,67839886a09ff9fef57d6ba9,2,36,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
6,1077.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,grasshopper,grasshopper_mooney_dot_off2,catch,regular,pre,off,r2ld6o4r24agr20,html-keyboard-response,38,1293729,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18242,67839886a09ff9fef57d6ba9,2,36,Nigeria,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
7,2327.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,r2ld6o4r24agr20,html-keyboard-response,42,1297078,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18242,67839886a09ff9fef57d6ba9,2,36,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,3406.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,r2ld6o4r24agr20,html-keyboard-response,46,1301506,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18242,67839886a09ff9fef57d6ba9,2,36,Nigeria,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
9,1801.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,grasshopper,grasshopper_mooney_dot_off4,catch,regular,pre,off,r2ld6o4r24agr20,html-keyboard-response,50,1304319,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18242,67839886a09ff9fef57d6ba9,2,36,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
