index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3664.0999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,bullet,bullet_mooney_dot_on1,target,regular,pre,on,sg7rmco5h2yvl9k,html-keyboard-response,14,235675,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 991,https://exponline.ugr.es/publix/939/983/start?srid=18192,672541915a9a5ac8b878a28e,5,21,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
1,2681.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,steak,steak_mooney_dot_off4,catch,regular,pre,off,sg7rmco5h2yvl9k,html-keyboard-response,18,239374,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 991,https://exponline.ugr.es/publix/939/983/start?srid=18192,672541915a9a5ac8b878a28e,5,21,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
2,48.200000047683716,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,eclair,eclair_mooney_dot_on1,target,horizontal_flip,pre,on,sg7rmco5h2yvl9k,html-keyboard-response,22,240432,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 991,https://exponline.ugr.es/publix/939/983/start?srid=18192,672541915a9a5ac8b878a28e,5,21,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
3,1953.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,bullet,bullet_mooney_dot_off4,target,regular,pre,off,sg7rmco5h2yvl9k,html-keyboard-response,26,243391,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 991,https://exponline.ugr.es/publix/939/983/start?srid=18192,672541915a9a5ac8b878a28e,5,21,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
4,2072.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,steak,steak_mooney_dot_off2,catch,regular,pre,off,sg7rmco5h2yvl9k,html-keyboard-response,30,246474,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 991,https://exponline.ugr.es/publix/939/983/start?srid=18192,672541915a9a5ac8b878a28e,5,21,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,1297.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,eclair,eclair_mooney_dot_on3,target,horizontal_flip,pre,on,sg7rmco5h2yvl9k,html-keyboard-response,34,248780,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 991,https://exponline.ugr.es/publix/939/983/start?srid=18192,672541915a9a5ac8b878a28e,5,21,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
6,1177.3999998569489,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,sg7rmco5h2yvl9k,html-keyboard-response,38,250976,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 991,https://exponline.ugr.es/publix/939/983/start?srid=18192,672541915a9a5ac8b878a28e,5,21,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
7,1096.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,steak,steak_mooney_dot_on3,catch,regular,pre,on,sg7rmco5h2yvl9k,html-keyboard-response,42,253092,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 991,https://exponline.ugr.es/publix/939/983/start?srid=18192,672541915a9a5ac8b878a28e,5,21,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,939.8000001907349,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,bullet,bullet_mooney_dot_on3,target,regular,pre,on,sg7rmco5h2yvl9k,html-keyboard-response,46,255040,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 991,https://exponline.ugr.es/publix/939/983/start?srid=18192,672541915a9a5ac8b878a28e,5,21,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
9,1642.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,eclair,eclair_mooney_dot_off4,target,horizontal_flip,pre,off,sg7rmco5h2yvl9k,html-keyboard-response,50,257690,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 991,https://exponline.ugr.es/publix/939/983/start?srid=18192,672541915a9a5ac8b878a28e,5,21,Nigeria,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
