index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,tkh5nswf5vf4at7,html-keyboard-response,14,367819,0.0-11.0-5.0-1.0,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,pedal,pedal_mooney_dot_off4,catch,regular,pre,off,tkh5nswf5vf4at7,html-keyboard-response,18,373847,0.0-11.0-5.1-1.1,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,3,0,dot,backpack,backpack_mooney_dot_off2,target,horizontal_flip,pre,off,tkh5nswf5vf4at7,html-keyboard-response,22,379873,0.0-11.0-5.2-1.2,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
3,3198.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,upside_down,pre,on,tkh5nswf5vf4at7,html-keyboard-response,26,384096,0.0-11.0-5.3-1.3,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
4,4378.19999999553,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,puddle,puddle_mooney_dot_on3,target,regular,pre,on,tkh5nswf5vf4at7,html-keyboard-response,30,389498,0.0-11.0-5.4-1.4,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
5,3022.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,upside_down,pre,off,tkh5nswf5vf4at7,html-keyboard-response,34,393547,0.0-11.0-5.5-1.5,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
6,3022.1999999955297,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,backpack,backpack_mooney_dot_on1,target,horizontal_flip,pre,on,tkh5nswf5vf4at7,html-keyboard-response,38,397590,0.0-11.0-5.6-1.6,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
7,1684.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,tkh5nswf5vf4at7,html-keyboard-response,42,400295,0.0-11.0-5.7-1.7,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
8,1677.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,backpack,backpack_mooney_dot_on3,target,horizontal_flip,pre,on,tkh5nswf5vf4at7,html-keyboard-response,46,402996,0.0-11.0-5.8-1.8,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
9,1672.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,upside_down,pre,on,tkh5nswf5vf4at7,html-keyboard-response,50,405697,0.0-11.0-5.9-1.9,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
10,1673,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,pedal,pedal_mooney_dot_on3,catch,regular,pre,on,tkh5nswf5vf4at7,html-keyboard-response,54,408395,0.0-11.0-5.10-1.10,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
11,1683.1000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,backpack,backpack_mooney_dot_off4,target,horizontal_flip,pre,off,tkh5nswf5vf4at7,html-keyboard-response,58,411094,0.0-11.0-5.11-1.11,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
12,2129.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,puddle,puddle_mooney_dot_on1,target,regular,pre,on,tkh5nswf5vf4at7,html-keyboard-response,62,414247,0.0-11.0-5.12-1.12,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
13,1664.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,14,0,dot,pedal,pedal_mooney_dot_on1,catch,regular,pre,on,tkh5nswf5vf4at7,html-keyboard-response,66,416946,0.0-11.0-5.13-1.13,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,1,,,,
14,1669.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,15,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,upside_down,pre,off,tkh5nswf5vf4at7,html-keyboard-response,70,419645,0.0-11.0-5.14-1.14,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
15,1675.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,16,0,dot,pedal,pedal_mooney_dot_off2,catch,regular,pre,off,tkh5nswf5vf4at7,html-keyboard-response,74,422349,0.0-11.0-5.15-1.15,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
16,,,,17,0,recognition,pomegranate,pomegranate_mooney,target,upside_down,pre,null,tkh5nswf5vf4at7,survey-text-autocomplete,82,446415,0.0-11.0-6.16-4.16,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
17,,,,18,0,recognition,puddle,puddle_mooney,target,regular,pre,null,tkh5nswf5vf4at7,survey-text-autocomplete,89,457118,0.0-11.0-6.17-4.17,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""map""}",map,0.8496184626577108,0.0
18,,,,19,0,recognition,backpack,backpack_mooney,target,horizontal_flip,pre,null,tkh5nswf5vf4at7,survey-text-autocomplete,96,475860,0.0-11.0-6.18-4.18,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""map""}",map,0.7939070930713027,0.0
19,,,,20,0,recognition,pedal,pedal_mooney,catch,regular,pre,null,tkh5nswf5vf4at7,survey-text-autocomplete,103,487329,0.0-11.0-6.19-4.19,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""car""}",car,0.49269387230023354,0.0
20,,,,21,0,recognition,backpack,backpack,target,horizontal_flip,color,null,tkh5nswf5vf4at7,survey-text-autocomplete,110,505574,0.0-11.0-6.20-4.20,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,Recognition,,,,"{""recognition"":""back pack""}",back_pack,0.0,0.0
21,,,,22,0,recognition,puddle,puddle,target,regular,color,null,tkh5nswf5vf4at7,survey-text-autocomplete,117,527634,0.0-11.0-6.21-4.21,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
22,,,,23,0,recognition,pomegranate,pomegranate,target,upside_down,color,null,tkh5nswf5vf4at7,survey-text-autocomplete,124,549717,0.0-11.0-6.22-4.22,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
23,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,24,1,dot,carriage,carriage_mooney_dot_off2,target,horizontal_flip,pre,off,tkh5nswf5vf4at7,html-keyboard-response,130,567641,0.0-11.0-5.23-1.23,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
24,1726.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off8.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,25,1,dot,puddle,puddle_mooney_dot_off8,target,regular,post,off,tkh5nswf5vf4at7,html-keyboard-response,134,570398,0.0-11.0-5.24-1.24,Chrome,134.0,Linux,,undefined,undefined,360 x 820,980 x 1859,https://exponline.ugr.es/publix/939/983/start?srid=18260,67b9e921b4b5ee4019522dbb,30,22,South Africa,Female,Right-handed,Exp,dot_recog,e,1,0,,,,
