index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,banana_peel,banana_peel_mooney_dot_off2,catch,regular,pre,off,v1er2jfjqtko61y,html-keyboard-response,14,225896,0.0-11.0-5.0-1.0,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 899,https://exponline.ugr.es/publix/939/983/start?srid=18276,614fff9528bcb29050067dd6,29,21,Lithuania,Male,Right-handed,Exp,dot_recog,,0,1,,,,
1,2814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,mannequin,mannequin_mooney_dot_off4,target,regular,pre,off,v1er2jfjqtko61y,html-keyboard-response,18,229725,0.0-11.0-5.1-1.1,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 899,https://exponline.ugr.es/publix/939/983/start?srid=18276,614fff9528bcb29050067dd6,29,21,Lithuania,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
2,2605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,shears,shears_mooney_dot_off4,target,horizontal_flip,pre,off,v1er2jfjqtko61y,html-keyboard-response,22,233445,0.0-11.0-5.2-1.2,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 899,https://exponline.ugr.es/publix/939/983/start?srid=18276,614fff9528bcb29050067dd6,29,21,Lithuania,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
3,2566,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,mannequin,mannequin_mooney_dot_off2,target,regular,pre,off,v1er2jfjqtko61y,html-keyboard-response,26,237029,0.0-11.0-5.3-1.3,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 899,https://exponline.ugr.es/publix/939/983/start?srid=18276,614fff9528bcb29050067dd6,29,21,Lithuania,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
4,2233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,v1er2jfjqtko61y,html-keyboard-response,30,240270,0.0-11.0-5.4-1.4,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 899,https://exponline.ugr.es/publix/939/983/start?srid=18276,614fff9528bcb29050067dd6,29,21,Lithuania,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
5,1854,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,surfboard,surfboard_mooney_dot_on3,target,upside_down,pre,on,v1er2jfjqtko61y,html-keyboard-response,34,243137,0.0-11.0-5.5-1.5,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 899,https://exponline.ugr.es/publix/939/983/start?srid=18276,614fff9528bcb29050067dd6,29,21,Lithuania,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
6,3788,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,mannequin,mannequin_mooney_dot_on3,target,regular,pre,on,v1er2jfjqtko61y,html-keyboard-response,38,247942,0.0-11.0-5.6-1.6,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 899,https://exponline.ugr.es/publix/939/983/start?srid=18276,614fff9528bcb29050067dd6,29,21,Lithuania,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
7,2030,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,surfboard,surfboard_mooney_dot_on1,target,upside_down,pre,on,v1er2jfjqtko61y,html-keyboard-response,42,250981,0.0-11.0-5.7-1.7,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 899,https://exponline.ugr.es/publix/939/983/start?srid=18276,614fff9528bcb29050067dd6,29,21,Lithuania,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,2431,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,shears,shears_mooney_dot_on3,target,horizontal_flip,pre,on,v1er2jfjqtko61y,html-keyboard-response,46,254428,0.0-11.0-5.8-1.8,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 899,https://exponline.ugr.es/publix/939/983/start?srid=18276,614fff9528bcb29050067dd6,29,21,Lithuania,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
9,1946,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,banana_peel,banana_peel_mooney_dot_on1,catch,regular,pre,on,v1er2jfjqtko61y,html-keyboard-response,50,257378,0.0-11.0-5.9-1.9,Firefox,137.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 899,https://exponline.ugr.es/publix/939/983/start?srid=18276,614fff9528bcb29050067dd6,29,21,Lithuania,Male,Right-handed,Exp,dot_recog,e,0,0,,,,
