index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,559.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,buoy,buoy_mooney_dot_off2,catch,regular,pre,off,vt1jcxkcp81s58d,html-keyboard-response,14,849783,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
1,923.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,bat2,bat2_mooney_dot_on1,target,regular,pre,on,vt1jcxkcp81s58d,html-keyboard-response,18,851714,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
2,965.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,pedal,pedal_mooney_dot_on3,target,horizontal_flip,pre,on,vt1jcxkcp81s58d,html-keyboard-response,22,853687,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
3,870.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,banana_peel,banana_peel_mooney_dot_on1,target,upside_down,pre,on,vt1jcxkcp81s58d,html-keyboard-response,26,855562,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
4,875.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,pedal,pedal_mooney_dot_off2,target,horizontal_flip,pre,off,vt1jcxkcp81s58d,html-keyboard-response,30,857442,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
5,1224.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,buoy,buoy_mooney_dot_on3,catch,regular,pre,on,vt1jcxkcp81s58d,html-keyboard-response,34,859673,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
6,800,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,bat2,bat2_mooney_dot_off2,target,regular,pre,off,vt1jcxkcp81s58d,html-keyboard-response,38,861477,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
7,892.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,upside_down,pre,off,vt1jcxkcp81s58d,html-keyboard-response,42,863376,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
8,814.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,bat2,bat2_mooney_dot_off4,target,regular,pre,off,vt1jcxkcp81s58d,html-keyboard-response,46,865203,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
9,743,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,buoy,buoy_mooney_dot_on1,catch,regular,pre,on,vt1jcxkcp81s58d,html-keyboard-response,50,866952,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
10,903,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,pedal,pedal_mooney_dot_on1,target,horizontal_flip,pre,on,vt1jcxkcp81s58d,html-keyboard-response,54,868864,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
11,766.0999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,upside_down,pre,off,vt1jcxkcp81s58d,html-keyboard-response,58,870639,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
12,879.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,13,0,dot,bat2,bat2_mooney_dot_on3,target,regular,pre,on,vt1jcxkcp81s58d,html-keyboard-response,62,872526,0.0-11.0-5.12-1.12,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
13,1137.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,14,0,dot,banana_peel,banana_peel_mooney_dot_on3,target,upside_down,pre,on,vt1jcxkcp81s58d,html-keyboard-response,66,874672,0.0-11.0-5.13-1.13,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
14,756.6999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,15,0,dot,pedal,pedal_mooney_dot_off4,target,horizontal_flip,pre,off,vt1jcxkcp81s58d,html-keyboard-response,70,876435,0.0-11.0-5.14-1.14,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
15,895.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,16,0,dot,buoy,buoy_mooney_dot_off4,catch,regular,pre,off,vt1jcxkcp81s58d,html-keyboard-response,74,878341,0.0-11.0-5.15-1.15,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
16,,,,17,0,recognition,pedal,pedal_mooney,target,horizontal_flip,pre,null,vt1jcxkcp81s58d,survey-text-autocomplete,82,885671,0.0-11.0-6.16-4.16,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""cab""}",cab,0.6645939785339603,0.0
17,,,,18,0,recognition,bat2,bat2_mooney,target,regular,pre,null,vt1jcxkcp81s58d,survey-text-autocomplete,89,893372,0.0-11.0-6.17-4.17,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""river horse""}",river_horse,0.7689765630408245,0.0
18,,,,19,0,recognition,buoy,buoy_mooney,catch,regular,pre,null,vt1jcxkcp81s58d,survey-text-autocomplete,96,900095,0.0-11.0-6.18-4.18,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""cactus""}",cactus,0.7955719937064747,0.0
19,,,,20,0,recognition,banana_peel,banana_peel_mooney,target,upside_down,pre,null,vt1jcxkcp81s58d,survey-text-autocomplete,103,907708,0.0-11.0-6.19-4.19,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""cat""}",cat,0.7340457067065885,0.0
20,,,,21,0,recognition,pedal,pedal,target,horizontal_flip,color,null,vt1jcxkcp81s58d,survey-text-autocomplete,110,916585,0.0-11.0-6.20-4.20,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""pipe""}",pipe,0.6490118670263572,0.0
21,,,,22,0,recognition,banana_peel,banana_peel,target,upside_down,color,null,vt1jcxkcp81s58d,survey-text-autocomplete,117,923191,0.0-11.0-6.21-4.21,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""banana peel""}",banana_peel,0.0,1.0
22,,,,23,0,recognition,bat2,bat2,target,regular,color,null,vt1jcxkcp81s58d,survey-text-autocomplete,124,932787,0.0-11.0-6.22-4.22,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""bat""}",bat2,0.0,1.0
23,517.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,24,1,dot,gargoyle,gargoyle_mooney_dot_off2,catch,upside_down,pre,off,vt1jcxkcp81s58d,html-keyboard-response,130,948733,0.0-11.0-5.23-1.23,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
24,950.6999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,25,1,dot,banana_peel,banana_peel_mooney_dot_on5,target,upside_down,post,on,vt1jcxkcp81s58d,html-keyboard-response,134,950694,0.0-11.0-5.24-1.24,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
25,1066,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,26,1,dot,sandal,sandal_mooney_dot_on1,target,horizontal_flip,pre,on,vt1jcxkcp81s58d,html-keyboard-response,138,952773,0.0-11.0-5.25-1.25,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
26,715.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,27,1,dot,gargoyle,gargoyle_mooney_dot_on3,catch,upside_down,pre,on,vt1jcxkcp81s58d,html-keyboard-response,142,954497,0.0-11.0-5.26-1.26,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,638 x 248,https://exponline.ugr.es/publix/939/983/start?srid=18184,6733ca6572d14762aea012ad,27,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
