index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,275675,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,56.399999998509884,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,
20,,,,,,html-keyboard-response,20,284930,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,2923.89999999851,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
24,,,,,,html-keyboard-response,24,286746,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,803.0999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,scarf,scarf_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,1,1,,,
28,,,,,,html-keyboard-response,28,288227,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,469.29999999701977,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,axe,axe_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
32,,,,,,html-keyboard-response,32,291522,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,2272.39999999851,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,1,0,,,
36,,,,,,html-keyboard-response,36,293286,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,746,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,i,1,1,,,
40,,,,,,html-keyboard-response,40,296380,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,2074.60000000149,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,axe,axe_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,1,0,,,
44,,,,,,html-keyboard-response,44,298024,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,623.3000000044703,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,1,0,,,
48,,,,,,html-keyboard-response,48,300110,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,1075.1000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,scarf,scarf_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,i,1,0,,,
52,,,,,,html-keyboard-response,52,301915,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,w2ryxt1uf0k0gae,https://exponline.ugr.es/publix/939/983/start?srid=18194,6791f6dd715489698cb9523e,20,28,South Africa,Male,Right-handed,,790.2999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,axe,axe_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,
