index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1284.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,steak,steak_mooney_dot_off2,target,upside_down,pre,off,ybv2pj1d8u1dkth,html-keyboard-response,14,1008349,0.0-11.0-5.0-1.0,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
1,528.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,magnifier,magnifier_mooney_dot_off2,catch,regular,pre,off,ybv2pj1d8u1dkth,html-keyboard-response,18,1009897,0.0-11.0-5.1-1.1,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
2,545.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,horizontal_flip,pre,on,ybv2pj1d8u1dkth,html-keyboard-response,22,1011450,0.0-11.0-5.2-1.2,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
3,431,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,candelabra,candelabra_mooney_dot_off4,target,regular,pre,off,ybv2pj1d8u1dkth,html-keyboard-response,26,1012893,0.0-11.0-5.3-1.3,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
4,432.69999998807907,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,magnifier,magnifier_mooney_dot_off4,catch,regular,pre,off,ybv2pj1d8u1dkth,html-keyboard-response,30,1014336,0.0-11.0-5.4-1.4,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
5,463.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,horizontal_flip,pre,off,ybv2pj1d8u1dkth,html-keyboard-response,34,1015818,0.0-11.0-5.5-1.5,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
6,365.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,candelabra,candelabra_mooney_dot_on3,target,regular,pre,on,ybv2pj1d8u1dkth,html-keyboard-response,38,1017208,0.0-11.0-5.6-1.6,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
7,434.60000002384186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,horizontal_flip,pre,off,ybv2pj1d8u1dkth,html-keyboard-response,42,1018656,0.0-11.0-5.7-1.7,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
8,533,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,candelabra,candelabra_mooney_dot_on1,target,regular,pre,on,ybv2pj1d8u1dkth,html-keyboard-response,46,1020213,0.0-11.0-5.8-1.8,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
9,463.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,steak,steak_mooney_dot_on3,target,upside_down,pre,on,ybv2pj1d8u1dkth,html-keyboard-response,50,1021695,0.0-11.0-5.9-1.9,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
10,453.69999998807907,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,horizontal_flip,pre,on,ybv2pj1d8u1dkth,html-keyboard-response,54,1023173,0.0-11.0-5.10-1.10,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
11,426.80000001192093,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,steak,steak_mooney_dot_on1,target,upside_down,pre,on,ybv2pj1d8u1dkth,html-keyboard-response,58,1024623,0.0-11.0-5.11-1.11,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
12,363.10000002384186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,13,0,dot,magnifier,magnifier_mooney_dot_on1,catch,regular,pre,on,ybv2pj1d8u1dkth,html-keyboard-response,62,1026007,0.0-11.0-5.12-1.12,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
13,375.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,14,0,dot,candelabra,candelabra_mooney_dot_off2,target,regular,pre,off,ybv2pj1d8u1dkth,html-keyboard-response,66,1027403,0.0-11.0-5.13-1.13,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
14,447.4000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,15,0,dot,steak,steak_mooney_dot_off4,target,upside_down,pre,off,ybv2pj1d8u1dkth,html-keyboard-response,70,1028862,0.0-11.0-5.14-1.14,Chrome,137.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/983/start?srid=18175,6631974094690f6997799b7c,21,36,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
