index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1656.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,shears,shears_mooney_dot_off4,target,upside_down,pre,off,0mrm3y2w4b4bo1e,html-keyboard-response,14,690613,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/982/start?srid=18119,664e413a5f3eb7f99d90e15b,1,21,Kenya,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
1,805.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,horizontal_flip,pre,on,0mrm3y2w4b4bo1e,html-keyboard-response,18,692428,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/982/start?srid=18119,664e413a5f3eb7f99d90e15b,1,21,Kenya,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
2,999.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,0mrm3y2w4b4bo1e,html-keyboard-response,22,694442,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/982/start?srid=18119,664e413a5f3eb7f99d90e15b,1,21,Kenya,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
3,668.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,shears,shears_mooney_dot_off2,target,upside_down,pre,off,0mrm3y2w4b4bo1e,html-keyboard-response,26,696125,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/982/start?srid=18119,664e413a5f3eb7f99d90e15b,1,21,Kenya,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
4,665.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,0mrm3y2w4b4bo1e,html-keyboard-response,30,697803,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/982/start?srid=18119,664e413a5f3eb7f99d90e15b,1,21,Kenya,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
5,662.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,ginger,ginger_mooney_dot_off4,catch,regular,pre,off,0mrm3y2w4b4bo1e,html-keyboard-response,34,699486,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/982/start?srid=18119,664e413a5f3eb7f99d90e15b,1,21,Kenya,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
6,693,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,horizontal_flip,pre,on,0mrm3y2w4b4bo1e,html-keyboard-response,38,701192,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/982/start?srid=18119,664e413a5f3eb7f99d90e15b,1,21,Kenya,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
7,801.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,missile,missile_mooney_dot_on3,target,regular,pre,on,0mrm3y2w4b4bo1e,html-keyboard-response,42,703014,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/982/start?srid=18119,664e413a5f3eb7f99d90e15b,1,21,Kenya,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
8,987,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,ginger,ginger_mooney_dot_on3,catch,regular,pre,on,0mrm3y2w4b4bo1e,html-keyboard-response,46,705025,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/982/start?srid=18119,664e413a5f3eb7f99d90e15b,1,21,Kenya,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
9,641.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,shears,shears_mooney_dot_on3,target,upside_down,pre,on,0mrm3y2w4b4bo1e,html-keyboard-response,50,706687,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/982/start?srid=18119,664e413a5f3eb7f99d90e15b,1,21,Kenya,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
