index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3809.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,upside_down,pre,on,94zy6xg85gveazt,html-keyboard-response,14,1470425,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18084,6130f102b3dfe2d4975dd252,34,22,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
1,850,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,axe,axe_mooney_dot_off4,catch,regular,pre,off,94zy6xg85gveazt,html-keyboard-response,18,1472292,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18084,6130f102b3dfe2d4975dd252,34,22,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
2,713.6999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,regular,pre,on,94zy6xg85gveazt,html-keyboard-response,22,1474025,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18084,6130f102b3dfe2d4975dd252,34,22,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
3,589.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,dumbbell,dumbbell_mooney_dot_on3,target,upside_down,pre,on,94zy6xg85gveazt,html-keyboard-response,26,1475633,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18084,6130f102b3dfe2d4975dd252,34,22,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
4,588.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,94zy6xg85gveazt,html-keyboard-response,30,1477254,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18084,6130f102b3dfe2d4975dd252,34,22,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
5,510.80000001192093,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,aloe,aloe_mooney_dot_off4,target,horizontal_flip,pre,off,94zy6xg85gveazt,html-keyboard-response,34,1478780,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18084,6130f102b3dfe2d4975dd252,34,22,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
6,487.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,regular,pre,off,94zy6xg85gveazt,html-keyboard-response,38,1480297,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18084,6130f102b3dfe2d4975dd252,34,22,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
7,526.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,94zy6xg85gveazt,html-keyboard-response,42,1481856,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18084,6130f102b3dfe2d4975dd252,34,22,South Africa,Female,Right-handed,Exp,dot_recog,i,0,0,,,,
8,786,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,upside_down,pre,off,94zy6xg85gveazt,html-keyboard-response,46,1483660,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18084,6130f102b3dfe2d4975dd252,34,22,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
9,555.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,aloe,aloe_mooney_dot_off2,target,horizontal_flip,pre,off,94zy6xg85gveazt,html-keyboard-response,50,1485254,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18084,6130f102b3dfe2d4975dd252,34,22,South Africa,Female,Right-handed,Exp,dot_recog,i,0,1,,,,
