index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,puddle,puddle_mooney_dot_off4,target,regular,pre,off,aoqg7g98hf6ddtf,html-keyboard-response,14,770183,0.0-11.0-5.0-1.0,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 949,https://exponline.ugr.es/publix/939/982/start?srid=18128,,30,,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
1,2905.60000000149,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,pedal,pedal_mooney_dot_off4,catch,regular,pre,off,aoqg7g98hf6ddtf,html-keyboard-response,18,774096,0.0-11.0-5.1-1.1,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 949,https://exponline.ugr.es/publix/939/982/start?srid=18128,,30,,South Africa,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
2,1568.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,backpack,backpack_mooney_dot_off2,target,horizontal_flip,pre,off,aoqg7g98hf6ddtf,html-keyboard-response,22,776672,0.0-11.0-5.2-1.2,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 949,https://exponline.ugr.es/publix/939/982/start?srid=18128,,30,,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
3,1410.5999999977648,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,upside_down,pre,on,aoqg7g98hf6ddtf,html-keyboard-response,26,779095,0.0-11.0-5.3-1.3,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 949,https://exponline.ugr.es/publix/939/982/start?srid=18128,,30,,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
4,1224.699999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,puddle,puddle_mooney_dot_on3,target,regular,pre,on,aoqg7g98hf6ddtf,html-keyboard-response,30,781334,0.0-11.0-5.4-1.4,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 949,https://exponline.ugr.es/publix/939/982/start?srid=18128,,30,,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
5,976.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,upside_down,pre,off,aoqg7g98hf6ddtf,html-keyboard-response,34,783335,0.0-11.0-5.5-1.5,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 949,https://exponline.ugr.es/publix/939/982/start?srid=18128,,30,,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
6,1492.7999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,backpack,backpack_mooney_dot_on1,target,horizontal_flip,pre,on,aoqg7g98hf6ddtf,html-keyboard-response,38,785839,0.0-11.0-5.6-1.6,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 949,https://exponline.ugr.es/publix/939/982/start?srid=18128,,30,,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
7,1471.5999999977648,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,aoqg7g98hf6ddtf,html-keyboard-response,42,788335,0.0-11.0-5.7-1.7,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 949,https://exponline.ugr.es/publix/939/982/start?srid=18128,,30,,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
8,2839.400000002235,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,backpack,backpack_mooney_dot_on3,target,horizontal_flip,pre,on,aoqg7g98hf6ddtf,html-keyboard-response,46,792191,0.0-11.0-5.8-1.8,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 949,https://exponline.ugr.es/publix/939/982/start?srid=18128,,30,,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
9,1560.699999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,upside_down,pre,on,aoqg7g98hf6ddtf,html-keyboard-response,50,794767,0.0-11.0-5.9-1.9,Chrome,109.0,Windows,10,undefined,undefined,1680 x 1050,1680 x 949,https://exponline.ugr.es/publix/939/982/start?srid=18128,,30,,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
