index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,axe,axe_mooney_dot_off4,catch,regular,pre,off,bbde6tytndhj1vw,html-keyboard-response,14,1970991,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,,0,1,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,2,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,bbde6tytndhj1vw,html-keyboard-response,18,1977010,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,,0,0,,,,
2,3792.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,bbde6tytndhj1vw,html-keyboard-response,22,1981816,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
3,4370.399999999907,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,steak,steak_mooney_dot_off2,target,regular,pre,off,bbde6tytndhj1vw,html-keyboard-response,26,1987199,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
4,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,5,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,upside_down,pre,on,bbde6tytndhj1vw,html-keyboard-response,30,1993218,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,,0,0,,,,
5,4902.600000000093,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,steak,steak_mooney_dot_on1,target,regular,pre,on,bbde6tytndhj1vw,html-keyboard-response,34,1999127,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
6,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,7,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,bbde6tytndhj1vw,html-keyboard-response,38,2005151,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,,0,1,,,,
7,4559.300000000279,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,bbde6tytndhj1vw,html-keyboard-response,42,2010719,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
8,4629,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,bbde6tytndhj1vw,html-keyboard-response,46,2016358,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,e,0,1,,,,
9,4323.700000000186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,bbde6tytndhj1vw,html-keyboard-response,50,2021703,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
10,3474.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,axe,axe_mooney_dot_on3,catch,regular,pre,on,bbde6tytndhj1vw,html-keyboard-response,54,2026199,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
11,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,12,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,bbde6tytndhj1vw,html-keyboard-response,58,2032215,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,,0,0,,,,
12,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,13,0,dot,axe,axe_mooney_dot_off2,catch,regular,pre,off,bbde6tytndhj1vw,html-keyboard-response,62,2038236,0.0-11.0-5.12-1.12,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,,0,1,,,,
13,4522.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,14,0,dot,steak,steak_mooney_dot_off4,target,regular,pre,off,bbde6tytndhj1vw,html-keyboard-response,66,2043766,0.0-11.0-5.13-1.13,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
14,3446.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,15,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,bbde6tytndhj1vw,html-keyboard-response,70,2048230,0.0-11.0-5.14-1.14,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,i,1,0,,,,
15,3533.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,16,0,dot,steak,steak_mooney_dot_on3,target,regular,pre,on,bbde6tytndhj1vw,html-keyboard-response,74,2052783,0.0-11.0-5.15-1.15,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,dot_recog,i,1,1,,,,
16,,,,17,0,recognition,candelabra,candelabra_mooney,target,horizontal_flip,pre,null,bbde6tytndhj1vw,survey-text-autocomplete,82,2072325,0.0-11.0-6.16-4.16,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""table""}",table,0.7139115276000704,0.0
17,,,,18,0,recognition,gargoyle,gargoyle_mooney,target,upside_down,pre,null,bbde6tytndhj1vw,survey-text-autocomplete,89,2084829,0.0-11.0-6.17-4.17,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""table""}",table,0.7641529283298386,0.0
18,,,,19,0,recognition,steak,steak_mooney,target,regular,pre,null,bbde6tytndhj1vw,survey-text-autocomplete,96,2100261,0.0-11.0-6.18-4.18,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""ball""}",ball,0.7426169983649504,0.0
19,,,,20,0,recognition,axe,axe_mooney,catch,regular,pre,null,bbde6tytndhj1vw,survey-text-autocomplete,103,2108741,0.0-11.0-6.19-4.19,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""ball""}",ball,0.6924832819358449,0.0
20,,,,21,0,recognition,candelabra,candelabra,target,horizontal_flip,color,null,bbde6tytndhj1vw,survey-text-autocomplete,110,2130358,0.0-11.0-6.20-4.20,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,Recognition,,,,"""timeout""",,,0.0
21,,,,22,0,recognition,gargoyle,gargoyle,target,upside_down,color,null,bbde6tytndhj1vw,survey-text-autocomplete,117,2144333,0.0-11.0-6.21-4.21,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 919,https://exponline.ugr.es/publix/939/982/start?srid=18090,65fae22c0f73edcc23fd29d9,13,32,Kenya,Male,Right-handed,Exp,Recognition,,,,"{""recognition"":""perfume""}",perfume,0.7573683329972357,0.0
