index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1729.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,aloe,aloe_mooney_dot_off2,catch,regular,pre,off,cn2f69d0utem2uo,html-keyboard-response,14,520893,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1495 x 698,https://exponline.ugr.es/publix/939/982/start?srid=18111,67cc634beb5f04f1fa1ed558,8,19,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
1,1354.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,buoy,buoy_mooney_dot_on1,target,horizontal_flip,pre,on,cn2f69d0utem2uo,html-keyboard-response,18,523252,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1495 x 698,https://exponline.ugr.es/publix/939/982/start?srid=18111,67cc634beb5f04f1fa1ed558,8,19,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
2,1177.4000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,cn2f69d0utem2uo,html-keyboard-response,22,525440,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1495 x 698,https://exponline.ugr.es/publix/939/982/start?srid=18111,67cc634beb5f04f1fa1ed558,8,19,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
3,1149.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,regular,pre,off,cn2f69d0utem2uo,html-keyboard-response,26,527592,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1495 x 698,https://exponline.ugr.es/publix/939/982/start?srid=18111,67cc634beb5f04f1fa1ed558,8,19,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
4,1305.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,buoy,buoy_mooney_dot_on3,target,horizontal_flip,pre,on,cn2f69d0utem2uo,html-keyboard-response,30,529903,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1495 x 698,https://exponline.ugr.es/publix/939/982/start?srid=18111,67cc634beb5f04f1fa1ed558,8,19,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
5,1145.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,cn2f69d0utem2uo,html-keyboard-response,34,532055,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1495 x 698,https://exponline.ugr.es/publix/939/982/start?srid=18111,67cc634beb5f04f1fa1ed558,8,19,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
6,1073.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,aloe,aloe_mooney_dot_on1,catch,regular,pre,on,cn2f69d0utem2uo,html-keyboard-response,38,534147,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1495 x 698,https://exponline.ugr.es/publix/939/982/start?srid=18111,67cc634beb5f04f1fa1ed558,8,19,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
7,1137,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,buoy,buoy_mooney_dot_off2,target,horizontal_flip,pre,off,cn2f69d0utem2uo,html-keyboard-response,42,536300,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1495 x 698,https://exponline.ugr.es/publix/939/982/start?srid=18111,67cc634beb5f04f1fa1ed558,8,19,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
8,1072.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,aloe,aloe_mooney_dot_on3,catch,regular,pre,on,cn2f69d0utem2uo,html-keyboard-response,46,538387,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1495 x 698,https://exponline.ugr.es/publix/939/982/start?srid=18111,67cc634beb5f04f1fa1ed558,8,19,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
9,946.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,regular,pre,off,cn2f69d0utem2uo,html-keyboard-response,50,540342,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1536 x 864,1495 x 698,https://exponline.ugr.es/publix/939/982/start?srid=18111,67cc634beb5f04f1fa1ed558,8,19,South Africa,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
