index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,227903,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1440 x 900,1440 x 773,ds1mtblhkjk5u3b,https://exponline.ugr.es/publix/939/982/start?srid=18092,60cf7a91648bda719c06e9f0,5,30,South Africa,Female,Right-handed,,2010.2999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,bullet,bullet_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
18,,,,,,html-keyboard-response,18,229871,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1440 x 900,1440 x 773,ds1mtblhkjk5u3b,https://exponline.ugr.es/publix/939/982/start?srid=18092,60cf7a91648bda719c06e9f0,5,30,South Africa,Female,Right-handed,,956.7999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,steak,steak_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,e,1,0,,,
22,,,,,,html-keyboard-response,22,231463,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1440 x 900,1440 x 773,ds1mtblhkjk5u3b,https://exponline.ugr.es/publix/939/982/start?srid=18092,60cf7a91648bda719c06e9f0,5,30,South Africa,Female,Right-handed,,575.7999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,eclair,eclair_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
26,,,,,,html-keyboard-response,26,233263,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1440 x 900,1440 x 773,ds1mtblhkjk5u3b,https://exponline.ugr.es/publix/939/982/start?srid=18092,60cf7a91648bda719c06e9f0,5,30,South Africa,Female,Right-handed,,788.2000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,bullet,bullet_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
30,,,,,,html-keyboard-response,30,235566,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1440 x 900,1440 x 773,ds1mtblhkjk5u3b,https://exponline.ugr.es/publix/939/982/start?srid=18092,60cf7a91648bda719c06e9f0,5,30,South Africa,Female,Right-handed,,1287.5999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,steak,steak_mooney_dot_off2,catch,regular,pre,off,Exp,dot_recog,e,1,0,,,
34,,,,,,html-keyboard-response,34,237199,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1440 x 900,1440 x 773,ds1mtblhkjk5u3b,https://exponline.ugr.es/publix/939/982/start?srid=18092,60cf7a91648bda719c06e9f0,5,30,South Africa,Female,Right-handed,,613.9000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,eclair,eclair_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
38,,,,,,html-keyboard-response,38,238743,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1440 x 900,1440 x 773,ds1mtblhkjk5u3b,https://exponline.ugr.es/publix/939/982/start?srid=18092,60cf7a91648bda719c06e9f0,5,30,South Africa,Female,Right-handed,,524.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
42,,,,,,html-keyboard-response,42,240159,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1440 x 900,1440 x 773,ds1mtblhkjk5u3b,https://exponline.ugr.es/publix/939/982/start?srid=18092,60cf7a91648bda719c06e9f0,5,30,South Africa,Female,Right-handed,,405.59999999403954,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,steak,steak_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
46,,,,,,html-keyboard-response,46,241630,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1440 x 900,1440 x 773,ds1mtblhkjk5u3b,https://exponline.ugr.es/publix/939/982/start?srid=18092,60cf7a91648bda719c06e9f0,5,30,South Africa,Female,Right-handed,,451.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,bullet,bullet_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
50,,,,,,html-keyboard-response,50,243054,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1440 x 900,1440 x 773,ds1mtblhkjk5u3b,https://exponline.ugr.es/publix/939/982/start?srid=18092,60cf7a91648bda719c06e9f0,5,30,South Africa,Female,Right-handed,,409.90000000596046,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,eclair,eclair_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,
