index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,941,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,axe,axe_mooney_dot_off4,catch,regular,pre,off,fjkdse8p4wr017e,html-keyboard-response,14,588705,0.0-11.0-5.0-1.0,Chrome,130.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18100,67df36bc1f2bc8202e38927d,13,27,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
1,815.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,fjkdse8p4wr017e,html-keyboard-response,18,590528,0.0-11.0-5.1-1.1,Chrome,130.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18100,67df36bc1f2bc8202e38927d,13,27,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
2,759.8000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,axe,axe_mooney_dot_on1,catch,regular,pre,on,fjkdse8p4wr017e,html-keyboard-response,22,592296,0.0-11.0-5.2-1.2,Chrome,130.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18100,67df36bc1f2bc8202e38927d,13,27,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
3,1101.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,steak,steak_mooney_dot_off2,target,regular,pre,off,fjkdse8p4wr017e,html-keyboard-response,26,594404,0.0-11.0-5.3-1.3,Chrome,130.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18100,67df36bc1f2bc8202e38927d,13,27,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
4,843.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,upside_down,pre,on,fjkdse8p4wr017e,html-keyboard-response,30,596256,0.0-11.0-5.4-1.4,Chrome,130.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18100,67df36bc1f2bc8202e38927d,13,27,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
5,1391.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,steak,steak_mooney_dot_on1,target,regular,pre,on,fjkdse8p4wr017e,html-keyboard-response,34,598657,0.0-11.0-5.5-1.5,Chrome,130.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18100,67df36bc1f2bc8202e38927d,13,27,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
6,1229.8000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,fjkdse8p4wr017e,html-keyboard-response,38,600894,0.0-11.0-5.6-1.6,Chrome,130.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18100,67df36bc1f2bc8202e38927d,13,27,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
7,701,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,fjkdse8p4wr017e,html-keyboard-response,42,602602,0.0-11.0-5.7-1.7,Chrome,130.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18100,67df36bc1f2bc8202e38927d,13,27,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
8,1147.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,upside_down,pre,off,fjkdse8p4wr017e,html-keyboard-response,46,604760,0.0-11.0-5.8-1.8,Chrome,130.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18100,67df36bc1f2bc8202e38927d,13,27,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
9,1153.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,fjkdse8p4wr017e,html-keyboard-response,50,606920,0.0-11.0-5.9-1.9,Chrome,130.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18100,67df36bc1f2bc8202e38927d,13,27,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
