index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,327565,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,702 x 164,has412htzag4m2r,https://exponline.ugr.es/publix/939/982/start?srid=18129,67e41c475bc3f139ebe63864,1,26,South Africa,Male,Right-handed,,2922.400000035763,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,shears,shears_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
18,,,,,,html-keyboard-response,18,330604,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,702 x 164,has412htzag4m2r,https://exponline.ugr.es/publix/939/982/start?srid=18129,67e41c475bc3f139ebe63864,1,26,South Africa,Male,Right-handed,,2026.300000011921,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
22,,,,,,html-keyboard-response,22,332474,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,702 x 164,has412htzag4m2r,https://exponline.ugr.es/publix/939/982/start?srid=18129,67e41c475bc3f139ebe63864,1,26,South Africa,Male,Right-handed,,857.9000000357628,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
26,,,,,,html-keyboard-response,26,334411,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,702 x 164,has412htzag4m2r,https://exponline.ugr.es/publix/939/982/start?srid=18129,67e41c475bc3f139ebe63864,1,26,South Africa,Male,Right-handed,,926.8000000119209,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,shears,shears_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
30,,,,,,html-keyboard-response,30,336266,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,702 x 164,has412htzag4m2r,https://exponline.ugr.es/publix/939/982/start?srid=18129,67e41c475bc3f139ebe63864,1,26,South Africa,Male,Right-handed,,847.3000000119209,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,missile,missile_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
34,,,,,,html-keyboard-response,34,337984,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,702 x 164,has412htzag4m2r,https://exponline.ugr.es/publix/939/982/start?srid=18129,67e41c475bc3f139ebe63864,1,26,South Africa,Male,Right-handed,,698.2000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,ginger,ginger_mooney_dot_off4,catch,regular,pre,off,Exp,dot_recog,e,1,0,,,
38,,,,,,html-keyboard-response,38,339758,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,702 x 164,has412htzag4m2r,https://exponline.ugr.es/publix/939/982/start?srid=18129,67e41c475bc3f139ebe63864,1,26,South Africa,Male,Right-handed,,765.8000000119209,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
42,,,,,,html-keyboard-response,42,342166,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,702 x 164,has412htzag4m2r,https://exponline.ugr.es/publix/939/982/start?srid=18129,67e41c475bc3f139ebe63864,1,26,South Africa,Male,Right-handed,,1396.8999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,missile,missile_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
46,,,,,,html-keyboard-response,46,344317,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,702 x 164,has412htzag4m2r,https://exponline.ugr.es/publix/939/982/start?srid=18129,67e41c475bc3f139ebe63864,1,26,South Africa,Male,Right-handed,,1137.6000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,ginger,ginger_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,i,0,0,,,
50,,,,,,html-keyboard-response,50,346522,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,702 x 164,has412htzag4m2r,https://exponline.ugr.es/publix/939/982/start?srid=18129,67e41c475bc3f139ebe63864,1,26,South Africa,Male,Right-handed,,1195.1000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,shears,shears_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,0,0,,,
