index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,1,0,dot,eclair,eclair_mooney_dot_off2,target,upside_down,pre,off,k0zfhavyvksnj6x,html-keyboard-response,14,355395,0.0-11.0-5.0-1.0,Chrome,114.0,Windows,10,undefined,undefined,360 x 796,980 x 1905,https://exponline.ugr.es/publix/939/982/start?srid=18082,66dbee79d67b1b0849af6d21,10,36,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,2,0,dot,bullet,bullet_mooney_dot_off4,target,regular,pre,off,k0zfhavyvksnj6x,html-keyboard-response,18,361405,0.0-11.0-5.1-1.1,Chrome,114.0,Windows,10,undefined,undefined,360 x 796,980 x 1905,https://exponline.ugr.es/publix/939/982/start?srid=18082,66dbee79d67b1b0849af6d21,10,36,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,3,0,dot,banana_peel,banana_peel_mooney_dot_on3,catch,regular,pre,on,k0zfhavyvksnj6x,html-keyboard-response,22,367414,0.0-11.0-5.2-1.2,Chrome,114.0,Windows,10,undefined,undefined,360 x 796,980 x 1905,https://exponline.ugr.es/publix/939/982/start?srid=18082,66dbee79d67b1b0849af6d21,10,36,South Africa,Female,Right-handed,Exp,dot_recog,,0,0,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,4,0,dot,eclair,eclair_mooney_dot_on1,target,upside_down,pre,on,k0zfhavyvksnj6x,html-keyboard-response,26,373423,0.0-11.0-5.3-1.3,Chrome,114.0,Windows,10,undefined,undefined,360 x 796,980 x 1905,https://exponline.ugr.es/publix/939/982/start?srid=18082,66dbee79d67b1b0849af6d21,10,36,South Africa,Female,Right-handed,Exp,dot_recog,,0,0,,,,
4,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,5,0,dot,bullet,bullet_mooney_dot_on1,target,regular,pre,on,k0zfhavyvksnj6x,html-keyboard-response,30,379433,0.0-11.0-5.4-1.4,Chrome,114.0,Windows,10,undefined,undefined,360 x 796,980 x 1905,https://exponline.ugr.es/publix/939/982/start?srid=18082,66dbee79d67b1b0849af6d21,10,36,South Africa,Female,Right-handed,Exp,dot_recog,,0,0,,,,
5,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,6,0,dot,eclair,eclair_mooney_dot_off4,target,upside_down,pre,off,k0zfhavyvksnj6x,html-keyboard-response,34,385443,0.0-11.0-5.5-1.5,Chrome,114.0,Windows,10,undefined,undefined,360 x 796,980 x 1905,https://exponline.ugr.es/publix/939/982/start?srid=18082,66dbee79d67b1b0849af6d21,10,36,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
6,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,7,0,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,k0zfhavyvksnj6x,html-keyboard-response,38,391456,0.0-11.0-5.6-1.6,Chrome,114.0,Windows,10,undefined,undefined,360 x 796,980 x 1905,https://exponline.ugr.es/publix/939/982/start?srid=18082,66dbee79d67b1b0849af6d21,10,36,South Africa,Female,Right-handed,Exp,dot_recog,,0,0,,,,
7,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,8,0,dot,banana_peel,banana_peel_mooney_dot_off4,catch,regular,pre,off,k0zfhavyvksnj6x,html-keyboard-response,42,397489,0.0-11.0-5.7-1.7,Chrome,114.0,Windows,10,undefined,undefined,360 x 796,980 x 1905,https://exponline.ugr.es/publix/939/982/start?srid=18082,66dbee79d67b1b0849af6d21,10,36,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
8,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,9,0,dot,bullet,bullet_mooney_dot_off2,target,regular,pre,off,k0zfhavyvksnj6x,html-keyboard-response,46,403501,0.0-11.0-5.8-1.8,Chrome,114.0,Windows,10,undefined,undefined,360 x 796,980 x 1905,https://exponline.ugr.es/publix/939/982/start?srid=18082,66dbee79d67b1b0849af6d21,10,36,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
9,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,10,0,dot,eclair,eclair_mooney_dot_on3,target,upside_down,pre,on,k0zfhavyvksnj6x,html-keyboard-response,50,409512,0.0-11.0-5.9-1.9,Chrome,114.0,Windows,10,undefined,undefined,360 x 796,980 x 1905,https://exponline.ugr.es/publix/939/982/start?srid=18082,66dbee79d67b1b0849af6d21,10,36,South Africa,Female,Right-handed,Exp,dot_recog,,0,0,,,,
