index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,633.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,grasshopper,grasshopper_mooney_dot_on1,catch,regular,pre,on,oplo2m8qpuc7hfc,html-keyboard-response,14,780992,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18123,676eec5a51ca999bb2023bad,11,27,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
1,916.8000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,oplo2m8qpuc7hfc,html-keyboard-response,18,782918,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18123,676eec5a51ca999bb2023bad,11,27,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
2,921.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,snail,snail_mooney_dot_off2,target,horizontal_flip,pre,off,oplo2m8qpuc7hfc,html-keyboard-response,22,784859,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18123,676eec5a51ca999bb2023bad,11,27,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
3,902,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,egg_roll,egg_roll_mooney_dot_on1,target,regular,pre,on,oplo2m8qpuc7hfc,html-keyboard-response,26,786776,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18123,676eec5a51ca999bb2023bad,11,27,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,
4,1056,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,scarf,scarf_mooney_dot_off4,target,upside_down,pre,off,oplo2m8qpuc7hfc,html-keyboard-response,30,788864,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18123,676eec5a51ca999bb2023bad,11,27,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,1,,,,
5,1059.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,grasshopper,grasshopper_mooney_dot_off4,catch,regular,pre,off,oplo2m8qpuc7hfc,html-keyboard-response,34,790936,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18123,676eec5a51ca999bb2023bad,11,27,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
6,1370.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,snail,snail_mooney_dot_off4,target,horizontal_flip,pre,off,oplo2m8qpuc7hfc,html-keyboard-response,38,793324,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18123,676eec5a51ca999bb2023bad,11,27,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
7,1230.8000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,oplo2m8qpuc7hfc,html-keyboard-response,42,795575,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18123,676eec5a51ca999bb2023bad,11,27,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
8,826.1999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,scarf,scarf_mooney_dot_on3,target,upside_down,pre,on,oplo2m8qpuc7hfc,html-keyboard-response,46,797419,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18123,676eec5a51ca999bb2023bad,11,27,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,0,,,,
9,1129.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,grasshopper,grasshopper_mooney_dot_off2,catch,regular,pre,off,oplo2m8qpuc7hfc,html-keyboard-response,50,799555,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/982/start?srid=18123,676eec5a51ca999bb2023bad,11,27,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,
