index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,336961,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1272 x 560,p1rx42xrlzbtodg,https://exponline.ugr.es/publix/939/982/start?srid=18091,61241440b58a4621e8c2f050,25,29,South Africa,Female,Right-handed,,1091.4000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,polar_bear,polar_bear_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
18,,,,,,html-keyboard-response,18,338612,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1272 x 560,p1rx42xrlzbtodg,https://exponline.ugr.es/publix/939/982/start?srid=18091,61241440b58a4621e8c2f050,25,29,South Africa,Female,Right-handed,,647.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,puddle,puddle_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
22,,,,,,html-keyboard-response,22,340231,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1272 x 560,p1rx42xrlzbtodg,https://exponline.ugr.es/publix/939/982/start?srid=18091,61241440b58a4621e8c2f050,25,29,South Africa,Female,Right-handed,,615.5999999940395,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
26,,,,,,html-keyboard-response,26,341990,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1272 x 560,p1rx42xrlzbtodg,https://exponline.ugr.es/publix/939/982/start?srid=18091,61241440b58a4621e8c2f050,25,29,South Africa,Female,Right-handed,,754.4000000059605,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on1,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
30,,,,,,html-keyboard-response,30,343429,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1272 x 560,p1rx42xrlzbtodg,https://exponline.ugr.es/publix/939/982/start?srid=18091,61241440b58a4621e8c2f050,25,29,South Africa,Female,Right-handed,,429.80000001192093,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,polar_bear,polar_bear_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,
34,,,,,,html-keyboard-response,34,346148,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1272 x 560,p1rx42xrlzbtodg,https://exponline.ugr.es/publix/939/982/start?srid=18091,61241440b58a4621e8c2f050,25,29,South Africa,Female,Right-handed,,1714.800000011921,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,1,0,,,
38,,,,,,html-keyboard-response,38,347623,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1272 x 560,p1rx42xrlzbtodg,https://exponline.ugr.es/publix/939/982/start?srid=18091,61241440b58a4621e8c2f050,25,29,South Africa,Female,Right-handed,,457.09999999403954,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,polar_bear,polar_bear_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,
42,,,,,,html-keyboard-response,42,349404,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1272 x 560,p1rx42xrlzbtodg,https://exponline.ugr.es/publix/939/982/start?srid=18091,61241440b58a4621e8c2f050,25,29,South Africa,Female,Right-handed,,770.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,puddle,puddle_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,
46,,,,,,html-keyboard-response,46,350904,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1272 x 560,p1rx42xrlzbtodg,https://exponline.ugr.es/publix/939/982/start?srid=18091,61241440b58a4621e8c2f050,25,29,South Africa,Female,Right-handed,,485.10000002384186,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on3,catch,regular,pre,on,Exp,dot_recog,e,1,1,,,
50,,,,,,html-keyboard-response,50,352346,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1280 x 720,1272 x 560,p1rx42xrlzbtodg,https://exponline.ugr.es/publix/939/982/start?srid=18091,61241440b58a4621e8c2f050,25,29,South Africa,Female,Right-handed,,428.19999998807907,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,
