index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2410,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,polar_bear,polar_bear_mooney_dot_on1,target,upside_down,pre,on,r9wxsexm9wfn133,html-keyboard-response,14,636593,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18120,66a7ed85b32128e9d0a8b742,25,25,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
1,2924.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,puddle,puddle_mooney_dot_on3,target,horizontal_flip,pre,on,r9wxsexm9wfn133,html-keyboard-response,18,640535,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18120,66a7ed85b32128e9d0a8b742,25,25,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
2,3801,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,r9wxsexm9wfn133,html-keyboard-response,22,645357,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18120,66a7ed85b32128e9d0a8b742,25,25,South Africa,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
3,3411.899999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on1,catch,regular,pre,on,r9wxsexm9wfn133,html-keyboard-response,26,649782,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18120,66a7ed85b32128e9d0a8b742,25,25,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
4,4589.399999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,polar_bear,polar_bear_mooney_dot_on3,target,upside_down,pre,on,r9wxsexm9wfn133,html-keyboard-response,30,655386,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18120,66a7ed85b32128e9d0a8b742,25,25,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
5,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,6,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,r9wxsexm9wfn133,html-keyboard-response,34,661409,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18120,66a7ed85b32128e9d0a8b742,25,25,South Africa,Female,Right-handed,Exp,dot_recog,,0,1,,,,
6,2183.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,polar_bear,polar_bear_mooney_dot_off2,target,upside_down,pre,off,r9wxsexm9wfn133,html-keyboard-response,38,664616,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18120,66a7ed85b32128e9d0a8b742,25,25,South Africa,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
7,3577.399999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,puddle,puddle_mooney_dot_on1,target,horizontal_flip,pre,on,r9wxsexm9wfn133,html-keyboard-response,42,669213,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18120,66a7ed85b32128e9d0a8b742,25,25,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
8,3028.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on3,catch,regular,pre,on,r9wxsexm9wfn133,html-keyboard-response,46,673253,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18120,66a7ed85b32128e9d0a8b742,25,25,South Africa,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
9,2171.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,r9wxsexm9wfn133,html-keyboard-response,50,676441,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/982/start?srid=18120,66a7ed85b32128e9d0a8b742,25,25,South Africa,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
