index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2488.800000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,polar_bear,polar_bear_mooney_dot_on1,target,upside_down,pre,on,tsrugafhnt65axp,html-keyboard-response,14,353740,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1200,1920 x 1065,https://exponline.ugr.es/publix/939/982/start?srid=18086,6124f0ada0175571343e2244,25,25,Estonia,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
1,2208.5999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,puddle,puddle_mooney_dot_on3,target,horizontal_flip,pre,on,tsrugafhnt65axp,html-keyboard-response,18,356956,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1200,1920 x 1065,https://exponline.ugr.es/publix/939/982/start?srid=18086,6124f0ada0175571343e2244,25,25,Estonia,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
2,1586.5999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,regular,pre,off,tsrugafhnt65axp,html-keyboard-response,22,359548,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1200,1920 x 1065,https://exponline.ugr.es/publix/939/982/start?srid=18086,6124f0ada0175571343e2244,25,25,Estonia,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
3,2491.60000000149,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on1,catch,regular,pre,on,tsrugafhnt65axp,html-keyboard-response,26,363044,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1200,1920 x 1065,https://exponline.ugr.es/publix/939/982/start?srid=18086,6124f0ada0175571343e2244,25,25,Estonia,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
4,2315.699999999255,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,polar_bear,polar_bear_mooney_dot_on3,target,upside_down,pre,on,tsrugafhnt65axp,html-keyboard-response,30,366364,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1200,1920 x 1065,https://exponline.ugr.es/publix/939/982/start?srid=18086,6124f0ada0175571343e2244,25,25,Estonia,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
5,2065,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,tsrugafhnt65axp,html-keyboard-response,34,369436,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1200,1920 x 1065,https://exponline.ugr.es/publix/939/982/start?srid=18086,6124f0ada0175571343e2244,25,25,Estonia,Female,Right-handed,Exp,dot_recog,i,1,0,,,,
6,1256.9000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,polar_bear,polar_bear_mooney_dot_off2,target,upside_down,pre,off,tsrugafhnt65axp,html-keyboard-response,38,371708,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1200,1920 x 1065,https://exponline.ugr.es/publix/939/982/start?srid=18086,6124f0ada0175571343e2244,25,25,Estonia,Female,Right-handed,Exp,dot_recog,e,0,1,,,,
7,1052.9000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,puddle,puddle_mooney_dot_on1,target,horizontal_flip,pre,on,tsrugafhnt65axp,html-keyboard-response,42,373772,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1200,1920 x 1065,https://exponline.ugr.es/publix/939/982/start?srid=18086,6124f0ada0175571343e2244,25,25,Estonia,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
8,956.7999999988824,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on3,catch,regular,pre,on,tsrugafhnt65axp,html-keyboard-response,46,375740,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1200,1920 x 1065,https://exponline.ugr.es/publix/939/982/start?srid=18086,6124f0ada0175571343e2244,25,25,Estonia,Female,Right-handed,Exp,dot_recog,i,1,1,,,,
9,2290.800000000745,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,tsrugafhnt65axp,html-keyboard-response,50,379036,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1920 x 1200,1920 x 1065,https://exponline.ugr.es/publix/939/982/start?srid=18086,6124f0ada0175571343e2244,25,25,Estonia,Female,Right-handed,Exp,dot_recog,e,0,0,,,,
